date,n_listings
2020-10-1,9455
2020-8-1,10643
2020-9-1,10049
2020-7-1,11238
2020-6-1,11314
2020-5-1,11393
2020-4-1,11532
2020-3-1,11541
2020-2-1,11498
2020-1-1,11396
2019-12-1,11346
2019-11-1,11263
2019-10-1,11213
2019-9-1,11338
2019-8-1,11340
2019-7-1,11047
2019-6-1,10414
2019-5-1,10079
2019-4-1,9661
2019-3-1,9361
2019-2-1,9100
2019-1-1,8891
2018-12-1,8647
2018-11-1,9122
2018-10-1,9163
2018-9-1,9294
2018-8-1,9360
2018-7-1,8968
2018-6-1,8398
2018-5-1,7828
2018-4-1,7962
2017-5-1,5127
2015-7-1,2116
