date,n_listings
2020-10-1,10305
2020-9-1,10436
2020-8-1,10527
2020-7-1,10321
2020-6-1,10732
2020-5-1,11081
2020-4-1,11282
2020-3-1,11668
2020-2-1,11520
2020-1-1,11333
2019-12-1,11261
2019-11-1,11250
2019-10-1,11504
2019-9-1,11339
2019-8-1,11466
2019-7-1,11882
2019-6-1,11829
2019-5-1,11792
2019-4-1,11889
2019-3-1,12126
2019-2-1,11564
2019-1-1,11379
2018-12-1,11413
2018-11-1,11919
2018-10-1,12037
2018-9-1,11659
2018-8-1,11440
2018-7-1,11316
2018-6-1,11239
2018-5-1,11163
2018-4-1,11324
2017-3-1,9663
2015-11-1,5835
2015-6-1,5299
2015-7-1,5406
2015-8-1,5513
2015-9-1,5620
2015-10-1,5727
2015-5-1,5192
