date,n_listings,n_new_listings,avg_price
2019-1-1,25255,0,745.79377628259
2019-2-1,25921,1771,743.727670311186
2019-3-1,26402,2384,750.979983179142
2019-4-1,28452,4493,757.105130361648
2019-5-1,31457,5247,765.82590412111
2019-6-1,33669,4501,763.621698906644
2019-7-1,34384,3431,769.939613120269
2019-8-1,34400,3827,777.873507148865
2019-9-1,34744,5318,779.146341463415
2019-10-1,36729,4319,781.444575273339
2019-11-1,38814,4562,777.902775441548
2019-12-1,40745,4057,777.457022708158
2020-1-1,41360,2976,777.135071488646
2020-2-1,39732,1204,779.157779646762
2020-3-1,37609,0,781.516568544996
2020-4-1,37379,1560,783.838351555929
2020-5-1,36864,851,785.821530698066
2020-6-1,36283,912,807.362489486964
2020-7-1,34072,1973,832.753658536585
2020-8-1,31861,3034,858.144827586207
2020-9-1,29650,4095,883.535996635828
2020-10-1,27439,5157,908.92716568545
