date,n_listings
2020-10-1,3254
2020-9-1,3293
2020-8-1,3339
2020-7-1,3293
2020-6-1,3440
2020-5-1,3688
2020-4-1,3845
2020-3-1,3799
2020-2-1,3903
2020-1-1,3746
2019-12-1,3507
2019-11-1,5387
2019-10-1,5647
2019-9-1,5711
2019-8-1,6214
2019-7-1,6264
2019-6-1,6246
2019-5-1,6241
2019-4-1,6202
2019-3-1,6221
2019-2-1,6155
2019-1-1,6247
2018-12-1,6217
2018-11-1,6296
2018-10-1,6014
2018-9-1,5957
2018-8-1,6036
2018-7-1,5997
2018-6-1,5982
2018-5-1,5968
2018-4-1,6393
2017-10-1,4870
2016-9-1,3585
2015-10-1,2558
