date,n_listings
2020-10-1,6556
2020-9-1,6553
2020-8-1,6504
2020-7-1,9581
2020-6-1,12658
2020-5-1,12725
2020-4-1,12897
2020-3-1,13172
2020-2-1,13217
2020-1-1,13208
2019-12-1,13363
2019-11-1,13332
2019-10-1,13344
2019-9-1,13637
2019-8-1,14145
2019-7-1,14014
2019-6-1,13245
2019-5-1,12671
2019-4-1,12355
2019-3-1,12235
2019-2-1,12189
2019-1-1,12144
2018-12-1,12265
2018-11-1,11985
2018-10-1,12048
2018-9-1,12322
2018-8-1,13011
2018-7-1,12578
2017-9-1,9635
2017-8-1,10246
2017-7-1,9187
2017-6-1,8136
2017-5-1,7612
2017-4-1,7278
2017-3-1,7154
2017-2-1,7074
2017-1-1,7047
2016-7-1,6270
