date,n_listings
2020-10-1,30533
2020-9-1,31536
2020-8-1,33078
2020-7-1,34900
2020-6-1,35757
2020-5-1,37048
2020-4-1,37728
2020-3-1,38481
2020-2-1,38851
2020-1-1,39486
2019-12-1,40125
2019-11-1,40899
2019-10-1,44380
2019-9-1,44986
2019-8-1,44938
2019-7-1,44570
2019-6-1,44478
2019-5-1,43903
2019-4-1,43390
2019-3-1,43143
2019-2-1,43669
2019-1-1,43342
2018-12-1,42992
2018-11-1,44454
2018-10-1,43715
2018-9-1,43152
2018-8-1,42299
2018-7-1,40371
2018-6-1,39630
2018-5-1,39818
2018-4-1,39551
2018-3-1,38812
2017-5-1,31253
2017-4-1,30162
2017-3-1,23372
2016-8-1,26080
2016-7-1,25475
2016-6-1,23183
2016-5-1,20891
2016-2-1,20644
2016-3-1,20726
2016-4-1,20808
2016-1-1,20562
2015-11-1,19022
2015-10-1,18033
2015-9-1,17044
2015-8-1,16383
2015-7-1,15722
2015-6-1,15120
2015-5-1,14519
