date,n_listings
2020-10-1,20497
2020-9-1,20226
2020-8-1,21502
2020-7-1,21255
2020-6-1,21661
2020-5-1,21739
2020-4-1,21791
2020-3-1,22170
2020-2-1,21845
2020-1-1,21495
2019-12-1,21172
2019-11-1,20539
2019-10-1,20328
2019-9-1,20837
2019-8-1,21800
2019-7-1,21439
2019-6-1,20630
2019-5-1,18808
2019-4-1,17721
2019-3-1,17656
2019-2-1,17358
2019-1-1,17491
2018-12-1,17834
2018-11-1,17301
2018-10-1,17303
2018-9-1,18045
2018-8-1,18672
2018-7-1,18362
2018-6-1,17846
2018-5-1,17331
2018-4-1,17008
2018-2-1,16544
2018-3-1,16776
2018-1-1,16313
2017-4-1,13335
2017-3-1,12775
2015-10-1,7446
2015-9-1,7764
2015-8-1,7781
2015-7-1,7799
