date,n_listings,n_new_listings,avg_price
2019-1-1,17723,0,106.975265416761
2019-2-1,17823,872,107.027896995708
2019-3-1,18318,1390,107.518635644906
2019-4-1,20626,3136,107.218997063474
2019-5-1,20627,1099,107.11328213237
2019-6-1,20675,759,106.852270160379
2019-7-1,20765,1046,106.885475491303
2019-8-1,20908,902,106.862886830811
2019-9-1,20322,958,109.129771854529
2019-10-1,19967,708,109.967924102101
2019-11-1,19786,815,109.053986898577
2019-12-1,19944,832,109.251072961373
2020-1-1,20015,835,109.920487915067
2020-2-1,20280,1312,110.747571718997
2020-3-1,19201,0,111.110119719901
2020-4-1,19728,1016,111.209735712672
2020-5-1,19961,524,111.204879150666
2020-6-1,19922,613,111.227128981251
2020-7-1,19352,928,110.203766659137
2020-8-1,18783,1244,109.180404337023
2020-9-1,18763,738,111.69196408403
2020-10-1,18674,664,110.507836006325
