date,n_listings
2020-10-1,6054
2020-9-1,6091
2020-8-1,6139
2020-7-1,6681
2020-6-1,6848
2020-5-1,7129
2020-4-1,7436
2020-3-1,7578
2020-2-1,7574
2020-1-1,7506
2019-12-1,7496
2019-11-1,7396
2019-10-1,7371
2019-9-1,7282
2019-8-1,7200
2019-7-1,7174
2019-6-1,6962
2019-5-1,6855
2019-4-1,6490
2019-3-1,6180
2019-2-1,6045
2019-1-1,5998
2018-12-1,5899
2018-11-1,5921
2018-10-1,5867
2018-9-1,5779
2018-8-1,5754
2018-7-1,5446
2018-6-1,5348
2018-5-1,5250
2018-4-1,5201
2017-9-1,5332
2016-9-1,3277
2015-10-1,2110
2015-7-1,1829
2015-8-1,1923
2015-9-1,2016
2015-6-1,1736
