date,n_listings
2020-10-1,6404
2020-9-1,6408
2020-8-1,6350
2020-7-1,6657
2020-6-1,6918
2020-5-1,7055
2020-4-1,7211
2020-3-1,7311
2020-2-1,7082
2020-1-1,6763
2019-12-1,6520
2019-11-1,7195
2019-10-1,7012
2019-9-1,7149
2019-8-1,7046
2019-7-1,7002
2019-6-1,6949
2019-5-1,6962
2019-4-1,6721
2019-3-1,6632
2019-2-1,6690
2019-1-1,6527
2018-12-1,6508
2018-11-1,6237
2018-10-1,6066
2018-9-1,5813
2018-8-1,5878
2018-7-1,5887
2018-6-1,5737
2018-5-1,5587
2018-4-1,5408
2018-3-1,5215
2018-2-1,5149
2018-1-1,4759
2017-12-1,4561
2017-11-1,4412
2017-10-1,4238
2017-9-1,3766
2017-8-1,3947
2017-7-1,3665
2017-6-1,5307
2017-5-1,5652
2017-4-1,5455
2017-3-1,5433
2017-2-1,5087
2017-1-1,4820
2016-12-1,4775
2016-11-1,4660
2016-10-1,4514
2016-9-1,4456
2016-8-1,4431
2016-7-1,4360
2016-6-1,4316
2016-5-1,4301
2016-4-1,4032
2016-3-1,3826
2016-2-1,3621
2015-9-1,2646
2015-7-1,2624
2015-8-1,2635
2015-6-1,2614
