date,n_listings
2020-10-1,44666
2020-9-1,45756
2020-8-1,46527
2020-7-1,48588
2020-6-1,49530
2020-5-1,50246
2020-4-1,50378
2020-3-1,50796
2020-2-1,51097
2020-1-1,51361
2019-12-1,50599
2019-11-1,49281
2019-10-1,48602
2019-9-1,48377
2019-8-1,48864
2019-7-1,48895
2019-6-1,48801
2019-5-1,48941
2019-4-1,49466
2019-3-1,49748
2019-2-1,50228
2019-1-1,50717
2018-12-1,49056
2018-11-1,50968
2018-10-1,50041
2018-9-1,50220
2018-8-1,50914
2018-7-1,47854
2018-6-1,47542
2018-5-1,47442
2018-4-1,48549
2018-3-1,48852
2018-2-1,49222
2018-1-1,48620
2017-12-1,47691
2017-11-1,45361
2017-10-1,44317
2017-9-1,41157
2017-8-1,44834
2017-7-1,42867
2017-6-1,41187
2017-5-1,40753
2017-4-1,40629
2017-3-1,40586
2017-2-1,40459
2017-1-1,40883
2016-12-1,40227
2016-11-1,38936
2016-10-1,39553
2016-9-1,39717
2016-8-1,39758
2016-7-1,38810
2016-6-1,36608
2016-5-1,32575
2016-4-1,32830
2016-3-1,34393
2016-2-1,35957
2016-1-1,36183
2015-12-1,34376
2015-11-1,31940
2015-10-1,30248
2015-9-1,30483
2015-8-1,30527
2015-7-1,28998
2015-6-1,27469
2015-5-1,27319
2015-4-1,27210
2015-3-1,27101
2015-2-1,27246
2015-1-1,27392
