date,n_listings
2020-10-1,3443
2020-8-1,4001
2020-9-1,3722
2020-7-1,4281
2020-6-1,4352
2020-5-1,4532
2020-4-1,4654
2020-3-1,4707
2020-2-1,4679
2020-1-1,4578
2019-12-1,4840
2019-11-1,4793
2019-10-1,4735
2019-9-1,4495
2019-8-1,5064
2019-7-1,5634
2019-6-1,5585
2019-5-1,5548
2019-4-1,5501
2019-3-1,5355
2019-2-1,5358
2019-1-1,5349
2018-12-1,5278
2018-11-1,5317
2018-10-1,5405
2018-9-1,5286
2018-8-1,5236
2018-7-1,4944
2018-6-1,4865
2018-5-1,4786
2018-4-1,4876
2018-3-1,4807
2018-2-1,4738
2018-1-1,4839
2017-12-1,4648
2017-11-1,4534
2017-10-1,4473
2017-9-1,4401
2017-8-1,4106
2017-7-1,3791
2017-6-1,3693
2017-5-1,3591
2017-4-1,3548
2017-3-1,3664
2017-2-1,3663
2017-1-1,3814
2016-12-1,3810
2016-11-1,3757
2016-10-1,3663
2016-9-1,3570
2016-8-1,3495
2016-7-1,3360
2016-6-1,3259
2016-5-1,3112
2016-4-1,3041
2016-3-1,2942
2016-2-1,2843
2016-1-1,2850
2015-12-1,2842
2015-11-1,2700
2015-10-1,2580
2015-9-1,2461
2015-6-1,2182
2015-7-1,2275
2015-8-1,2368
2015-5-1,2090
2015-4-1,2024
2015-3-1,1959
