date,n_listings
2020-10-1,8688
2020-8-1,11165
2020-9-1,9926
2020-7-1,12404
2020-6-1,12687
2020-5-1,13097
2020-4-1,13460
2020-3-1,13927
2020-2-1,13773
2020-1-1,13731
2019-12-1,13686
2019-11-1,13574
2019-10-1,13350
2019-9-1,13236
2019-8-1,13051
2019-7-1,12929
2019-6-1,12515
2019-5-1,12333
2019-4-1,12096
2019-3-1,11928
2019-2-1,11844
2019-1-1,11801
2018-12-1,11652
2018-11-1,11922
2018-10-1,11768
2018-9-1,11766
2018-8-1,11726
2018-7-1,11356
2018-6-1,10948
2018-5-1,10540
2018-4-1,10728
2016-7-1,6608
2015-6-1,3530
