date,n_listings
2020-10-1,6998
2020-9-1,7053
2020-8-1,7274
2020-7-1,7526
2020-6-1,7814
2020-5-1,8078
2020-4-1,8138
2020-3-1,8572
2020-2-1,8587
2020-1-1,8611
2019-12-1,8533
2019-11-1,8307
2019-10-1,8111
2019-9-1,7933
2019-8-1,7833
2019-7-1,7738
2019-6-1,7575
2019-5-1,7353
2019-4-1,7277
2019-3-1,7151
2019-2-1,7198
2019-1-1,7251
2018-12-1,7072
2018-11-1,6981
2018-10-1,6807
2018-9-1,6529
2018-8-1,6633
2018-7-1,4693
2018-6-1,4733
2018-5-1,4774
2018-4-1,4844
2018-3-1,4804
2018-2-1,4727
2018-1-1,5224
2017-12-1,6940
2017-11-1,8929
2017-10-1,8933
2017-9-1,8529
2017-8-1,9057
2017-7-1,8855
2017-6-1,8799
2017-5-1,8770
2017-4-1,8706
2017-3-1,8720
2017-2-1,8776
2017-1-1,9035
2016-12-1,9066
2016-11-1,8864
2016-10-1,8759
2016-9-1,8665
2016-8-1,8610
2016-7-1,8619
2016-6-1,8440
2016-5-1,8085
2016-4-1,8011
2016-3-1,8154
2016-2-1,8298
2015-12-1,7165
2015-11-1,7029
2015-10-1,6695
2015-9-1,6361
2015-6-1,5659
2015-7-1,5893
2015-8-1,6127
2015-5-1,5425
