date,n_listings
2020-10-1,34276
2020-9-1,34829
2020-8-1,31391
2020-7-1,36057
2020-6-1,36901
2020-5-1,37562
2020-4-1,37845
2020-3-1,39670
2020-2-1,40434
2020-1-1,41338
2019-12-1,40212
2019-11-1,38337
2019-10-1,37651
2019-9-1,38214
2019-8-1,38383
2019-7-1,38080
2019-6-1,37644
2019-5-1,37039
2019-4-1,36440
2019-3-1,35973
2019-2-1,36717
2019-1-1,37426
2018-12-1,36662
2018-11-1,34140
2018-10-1,33430
2018-9-1,33829
2018-8-1,33773
2018-7-1,33481
2018-6-1,33088
2018-5-1,32696
2018-4-1,32422
2018-2-1,32694
2018-3-1,32558
2018-1-1,32830
2017-12-1,31001
2017-11-1,28478
2017-10-1,27360
2017-5-1,24591
2017-6-1,25145
2017-7-1,25699
2017-8-1,26252
2017-9-1,26806
2017-4-1,24038
2017-3-1,23645
2016-12-1,23615
2016-2-1,16827
2016-3-1,17506
2016-4-1,18185
2016-5-1,18863
2016-6-1,19542
2016-7-1,20221
2016-8-1,20900
2016-9-1,21578
2016-10-1,22257
2016-11-1,22936
2016-1-1,16149
2015-12-1,14408
2015-11-1,12726
2015-10-1,11045
2015-9-1,10473
2015-6-1,9893
2015-7-1,10086
2015-8-1,10279
2015-5-1,9700
