,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2011-07-01,-470.8578196057418,-922.0346329102327,705.4996205757154,-470.8578196057418,-470.8578196057418,373.66325961471483,373.66325961471483,373.66325961471483,373.66325961471483,373.66325961471483,373.66325961471483,0.0,0.0,0.0,-97.19455999102695
1,2011-08-01,-446.3826122790247,-1041.7726740995072,614.2746930659753,-446.3826122790247,-446.3826122790247,235.1138381370342,235.1138381370342,235.1138381370342,235.1138381370342,235.1138381370342,235.1138381370342,0.0,0.0,0.0,-211.26877414199052
2,2011-09-01,-421.90740495230773,-996.0888365370847,573.1774120746003,-421.90740495230773,-421.90740495230773,249.3469312549252,249.3469312549252,249.3469312549252,249.3469312549252,249.3469312549252,249.3469312549252,0.0,0.0,0.0,-172.56047369738252
3,2011-10-01,-398.2217204425815,-729.4838461918997,922.8175010558291,-398.2217204425815,-398.2217204425815,464.59429858303423,464.59429858303423,464.59429858303423,464.59429858303423,464.59429858303423,464.59429858303423,0.0,0.0,0.0,66.37257814045273
4,2011-11-01,-373.74651311586445,-985.4457880558087,632.8294418934099,-373.74651311586445,-373.74651311586445,153.15141711527724,153.15141711527724,153.15141711527724,153.15141711527724,153.15141711527724,153.15141711527724,0.0,0.0,0.0,-220.5950960005872
5,2011-12-01,-350.06082875642073,-1218.0357827343412,430.1861845568616,-350.06082875642073,-350.06082875642073,-38.31561447929664,-38.31561447929664,-38.31561447929664,-38.31561447929664,-38.31561447929664,-38.31561447929664,0.0,0.0,0.0,-388.3764432357174
6,2012-01-01,-325.5856215849956,-1511.0865534937363,150.07092260824294,-325.5856215849956,-325.5856215849956,-366.82450431077405,-366.82450431077405,-366.82450431077405,-366.82450431077405,-366.82450431077405,-366.82450431077405,0.0,0.0,0.0,-692.4101258957696
7,2012-02-01,-301.1104144135704,-1524.7824378868272,104.67958274692828,-301.1104144135704,-301.1104144135704,-426.5354950148104,-426.5354950148104,-426.5354950148104,-426.5354950148104,-426.5354950148104,-426.5354950148104,0.0,0.0,0.0,-727.6459094283808
8,2012-03-01,-278.21425255001975,-1112.2628216946302,531.7756409773638,-278.21425255001975,-278.21425255001975,-28.99144226325529,-28.99144226325529,-28.99144226325529,-28.99144226325529,-28.99144226325529,-28.99144226325529,0.0,0.0,0.0,-307.20569481327504
9,2012-04-01,-253.73904504070703,-1521.1726603858792,98.0011999659919,-253.73904504070703,-253.73904504070703,-438.19984916065783,-438.19984916065783,-438.19984916065783,-438.19984916065783,-438.19984916065783,-438.19984916065783,0.0,0.0,0.0,-691.9388942013649
10,2012-05-01,-230.05336035427533,-1286.2901952952643,257.2277281726487,-230.0533603542753,-230.0533603542753,-260.93963019469584,-260.93963019469584,-260.93963019469584,-260.93963019469584,-260.93963019469584,-260.93963019469584,0.0,0.0,0.0,-490.9929905489712
11,2012-06-01,-205.57815284496263,-956.3072094238343,717.8980596501652,-205.57815284496263,-205.57815284496263,52.296310288051885,52.296310288051885,52.296310288051885,52.296310288051885,52.296310288051885,52.296310288051885,0.0,0.0,0.0,-153.28184255691076
12,2012-07-01,-181.89246788348905,-522.38601378977,1134.8585574727028,-181.89246788348905,-181.89246788348905,447.17674510588756,447.17674510588756,447.17674510588756,447.17674510588756,447.17674510588756,447.17674510588756,0.0,0.0,0.0,265.2842772223985
13,2012-08-01,-157.41726008996633,-613.7546545167227,1026.213437909883,-157.41726008996633,-157.41726008996633,347.14048610070876,347.14048610070876,347.14048610070876,347.14048610070876,347.14048610070876,347.14048610070876,0.0,0.0,0.0,189.72322601074242
14,2012-09-01,-132.9420522964436,-696.6190664839652,945.1817192503263,-132.9420522964436,-132.9420522964436,253.42212423660166,253.42212423660166,253.42212423660166,253.42212423660166,253.42212423660166,253.42212423660166,0.0,0.0,0.0,120.48007194015807
15,2012-10-01,-109.25636683566235,-623.8670758581297,1040.767748285655,-109.25636683566233,-109.25636683566233,347.2069565174003,347.2069565174003,347.2069565174003,347.2069565174003,347.2069565174003,347.2069565174003,0.0,0.0,0.0,237.95058968173794
16,2012-11-01,-84.78115852618835,-825.9029554951877,849.5151398318839,-84.78115852618835,-84.78115852618835,99.60209744158898,99.60209744158898,99.60209744158898,99.60209744158898,99.60209744158898,99.60209744158898,0.0,0.0,0.0,14.820938915400632
17,2012-12-01,-61.09547306540718,-914.6481720654833,819.6293627480283,-61.09547306540718,-61.09547306540718,-53.755479955952325,-53.755479955952325,-53.755479955952325,-53.755479955952325,-53.755479955952325,-53.755479955952325,0.0,0.0,0.0,-114.8509530213595
