,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2010-07-01,-2093.5357678530154,-4207.395672611693,1997.4583988547492,-2093.5357678530154,-2093.5357678530154,1099.8948840652547,1099.8948840652547,1099.8948840652547,1099.8948840652547,1099.8948840652547,1099.8948840652547,0.0,0.0,0.0,-993.6408837877607
1,2010-11-01,-1813.246834726869,-5211.394398180664,1077.6529347866194,-1813.246834726869,-1813.246834726869,-335.7409104066619,-335.7409104066619,-335.7409104066619,-335.7409104066619,-335.7409104066619,-335.7409104066619,0.0,0.0,0.0,-2148.987745133531
2,2011-04-01,-1469.1522908077793,-5199.265601000327,919.0935554204036,-1469.1522908077793,-1469.1522908077793,-515.485106461098,-515.485106461098,-515.485106461098,-515.485106461098,-515.485106461098,-515.485106461098,0.0,0.0,0.0,-1984.6373972688773
3,2011-05-01,-1400.7891363867682,-4239.1528109194805,2146.75665288479,-1400.7891363867682,-1400.7891363867682,262.96873690729257,262.96873690729257,262.96873690729257,262.96873690729257,262.96873690729257,262.96873690729257,0.0,0.0,0.0,-1137.8203994794756
4,2011-06-01,-1330.1472101517231,-3719.769643306759,2239.2453287446046,-1330.147210151723,-1330.147210151723,602.1112682848616,602.1112682848616,602.1112682848616,602.1112682848616,602.1112682848616,602.1112682848616,0.0,0.0,0.0,-728.0359418668615
5,2011-07-01,-1261.7840518187181,-3579.56577911483,2814.2853101864466,-1261.7840518187181,-1261.7840518187181,1072.9129317508864,1072.9129317508864,1072.9129317508864,1072.9129317508864,1072.9129317508864,1072.9129317508864,0.0,0.0,0.0,-188.87112006783173
6,2011-08-01,-1191.142121541279,-3391.306047872029,3162.9292203072323,-1191.142121541279,-1191.142121541279,1089.177843099497,1089.177843099497,1089.177843099497,1089.177843099497,1089.177843099497,1089.177843099497,0.0,0.0,0.0,-101.96427844178197
7,2011-09-01,-1120.5001912638402,-2766.173063481053,3342.8889107140208,-1120.5001912638402,-1120.5001912638402,1605.1866009211114,1605.1866009211114,1605.1866009211114,1605.1866009211114,1605.1866009211114,1605.1866009211114,0.0,0.0,0.0,484.68640965727127
8,2011-10-01,-1052.1370329324602,-3694.4315343316616,2421.1343561460126,-1052.1370329324602,-1052.1370329324602,414.76259408301985,414.76259408301985,414.76259408301985,414.76259408301985,414.76259408301985,414.76259408301985,0.0,0.0,0.0,-637.3744388494404
9,2011-11-01,-981.4951026567007,-4381.221559433904,1717.746374428145,-981.4951026567007,-981.4951026567007,-341.76870947236745,-341.76870947236745,-341.76870947236745,-341.76870947236745,-341.76870947236745,-341.76870947236745,0.0,0.0,0.0,-1323.2638121290681
10,2011-12-01,-913.1319443253209,-5336.91758441293,1002.8642776319398,-913.1319443253208,-913.1319443253208,-1130.9989350387116,-1130.9989350387116,-1130.9989350387116,-1130.9989350387116,-1130.9989350387116,-1130.9989350387116,0.0,0.0,0.0,-2044.1308793640324
11,2012-01-01,-842.4900140495616,-4964.165532779373,1135.9171108472212,-842.4900140495616,-842.4900140495616,-1046.9561832402492,-1046.9561832402492,-1046.9561832402492,-1046.9561832402492,-1046.9561832402492,-1046.9561832402492,0.0,0.0,0.0,-1889.4461972898107
12,2012-02-01,-771.8480842362577,-5016.753679254914,1084.7030612160459,-771.8480842362577,-771.8480842362577,-1105.2760941438191,-1105.2760941438191,-1105.2760941438191,-1105.2760941438191,-1105.2760941438191,-1105.2760941438191,0.0,0.0,0.0,-1877.124178380077
13,2012-03-01,-705.7636982818766,-4749.487690687631,1409.2121818498376,-705.7636982818766,-705.7636982818766,-975.0765562238721,-975.0765562238721,-975.0765562238721,-975.0765562238721,-975.0765562238721,-975.0765562238721,0.0,0.0,0.0,-1680.8402545057488
14,2012-04-01,-635.1217684685728,-3997.924870894934,1836.4735395097782,-635.1217684685728,-635.1217684685728,-588.6748764784357,-588.6748764784357,-588.6748764784357,-588.6748764784357,-588.6748764784357,-588.6748764784357,0.0,0.0,0.0,-1223.7966449470086
15,2012-05-01,-566.7586105847301,-3367.488375060374,2748.127638928442,-566.7586105847301,-566.7586105847301,204.33612908628743,204.33612908628743,204.33612908628743,204.33612908628743,204.33612908628743,204.33612908628743,0.0,0.0,0.0,-362.4224814984427
16,2012-06-01,-496.1166806579069,-3059.818847156393,3124.963541934809,-496.1166806579069,-496.1166806579069,555.7003319506744,555.7003319506744,555.7003319506744,555.7003319506744,555.7003319506744,555.7003319506744,0.0,0.0,0.0,59.583651292767456
17,2012-07-01,-427.75352266420674,-2375.709370891829,3700.317150243497,-427.75352266420674,-427.75352266420674,1151.0433836765937,1151.0433836765937,1151.0433836765937,1151.0433836765937,1151.0433836765937,1151.0433836765937,0.0,0.0,0.0,723.2898610123871
18,2012-08-01,-357.11159273738326,-2211.9822977984895,4058.887090712052,-357.11159273738326,-357.11159273738326,1213.6621147618812,1213.6621147618812,1213.6621147618812,1213.6621147618812,1213.6621147618812,1213.6621147618812,0.0,0.0,0.0,856.5505220244979
19,2012-09-01,-286.46966206274095,-1648.2918254751467,4349.305246107738,-286.469662062741,-286.469662062741,1572.867625430035,1572.867625430035,1572.867625430035,1572.867625430035,1572.867625430035,1572.867625430035,0.0,0.0,0.0,1286.397963367294
20,2012-10-01,-218.1065033453457,-3068.265770037994,3091.058595227936,-218.1065033453457,-218.1065033453457,285.50477108709293,285.50477108709293,285.50477108709293,285.50477108709293,285.50477108709293,285.50477108709293,0.0,0.0,0.0,67.39826774174725
21,2012-11-01,-147.46457267070363,-3635.958387873486,2545.5136839421866,-147.46457267070363,-147.46457267070363,-325.1387268194548,-325.1387268194548,-325.1387268194548,-325.1387268194548,-325.1387268194548,-325.1387268194548,0.0,0.0,0.0,-472.6032994901584
22,2012-12-01,-79.10141395330788,-4277.258949242363,1803.3473238138793,-79.10141395330788,-79.10141395330788,-1134.93822322176,-1134.93822322176,-1134.93822322176,-1134.93822322176,-1134.93822322176,-1134.93822322176,0.0,0.0,0.0,-1214.0396371750678
23,2013-01-01,-8.459480767133702,-4071.4170693717742,1841.519965746094,-8.459480767133702,-8.459480767133702,-1094.3063742912314,-1094.3063742912314,-1094.3063742912314,-1094.3063742912314,-1094.3063742912314,-1094.3063742912314,0.0,0.0,0.0,-1102.765855058365
24,2013-02-01,62.18245241904072,-4381.472622715445,1969.2687180526004,62.18245241904072,62.18245241904072,-1115.242943216377,-1115.242943216377,-1115.242943216377,-1115.242943216377,-1115.242943216377,-1115.242943216377,0.0,0.0,0.0,-1053.0604907973361
25,2013-03-01,125.9880694904243,-3748.816297509107,2058.2032144550762,125.9880694904243,125.9880694904243,-1031.686439322144,-1031.686439322144,-1031.686439322144,-1031.686439322144,-1031.686439322144,-1031.686439322144,0.0,0.0,0.0,-905.6983698317197
26,2013-04-01,196.63000267659874,-3307.471102825453,2763.2565917644015,196.63000267659874,196.63000267659874,-565.5386421303202,-565.5386421303202,-565.5386421303202,-565.5386421303202,-565.5386421303202,-565.5386421303202,0.0,0.0,0.0,-368.9086394537215
27,2013-05-01,264.99316505067003,-2517.160932226002,3585.5268917306994,264.99316505067003,264.99316505067003,224.05784686071232,224.05784686071232,224.05784686071232,224.05784686071232,224.05784686071232,224.05784686071232,0.0,0.0,0.0,489.0510119113824
28,2013-06-01,335.6350995038781,-2178.414846312118,3938.972641529507,335.6350995038781,335.6350995038781,572.0379533511267,572.0379533511267,572.0379533511267,572.0379533511267,572.0379533511267,572.0379533511267,0.0,0.0,0.0,907.6730528550048
29,2013-07-01,403.9982618779499,-1506.9579357084458,4623.205690498104,403.9982618779499,403.9982618779499,1125.9502606975889,1125.9502606975889,1125.9502606975889,1125.9502606975889,1125.9502606975889,1125.9502606975889,0.0,0.0,0.0,1529.9485225755388
30,2013-08-01,474.6869391134406,-1498.6818279670713,4666.8819465839315,474.6869391134406,474.6869391134406,1171.6121407097644,1171.6121407097644,1171.6121407097644,1171.6121407097644,1171.6121407097644,1171.6121407097644,0.0,0.0,0.0,1646.299079823205
31,2013-09-01,545.3756163489318,-1107.3794452953607,5114.301336719294,545.3756163489318,545.3756163489318,1582.7591020985196,1582.7591020985196,1582.7591020985196,1582.7591020985196,1582.7591020985196,1582.7591020985196,0.0,0.0,0.0,2128.1347184474516
32,2013-10-01,613.7840136736007,-1905.220649425939,4122.854693303838,613.7840136736007,613.7840136736007,328.528054773934,328.528054773934,328.528054773934,328.528054773934,328.528054773934,328.528054773934,0.0,0.0,0.0,942.3120684475348
33,2013-11-01,684.472690909092,-2735.387338944209,3463.71207961882,684.472690909092,684.472690909092,-330.19683694144896,-330.19683694144896,-330.19683694144896,-330.19683694144896,-330.19683694144896,-330.19683694144896,0.0,0.0,0.0,354.275853967643
34,2013-12-01,752.8927441526517,-3508.785095568543,2708.9793182684084,752.8927441526517,752.8927441526517,-1133.8750459685614,-1133.8750459685614,-1133.8750459685614,-1133.8750459685614,-1133.8750459685614,-1133.8750459685614,0.0,0.0,0.0,-380.98230181590964
35,2014-01-01,823.5934658376633,-3099.5511770522994,2964.3583434702473,823.5934658376633,823.5934658376633,-1078.2959491819524,-1078.2959491819524,-1078.2959491819524,-1078.2959491819524,-1078.2959491819524,-1078.2959491819524,0.0,0.0,0.0,-254.70248334428913
36,2014-02-01,894.2941875226754,-3336.24314133008,2783.8898622801808,894.2941875226754,894.2941875226754,-1111.0709391035284,-1111.0709391035284,-1111.0709391035284,-1111.0709391035284,-1111.0709391035284,-1111.0709391035284,0.0,0.0,0.0,-216.776751580853
37,2014-03-01,958.1529038833315,-3332.490655273675,3016.1615104784973,958.1529038833315,958.1529038833315,-1087.6350333789846,-1087.6350333789846,-1087.6350333789846,-1087.6350333789846,-1087.6350333789846,-1087.6350333789846,0.0,0.0,0.0,-129.4821294956531
38,2014-04-01,1031.3259644124125,-2651.3255796190465,3604.681957192243,1031.3259644124125,1031.3259644124125,-541.1328186153654,-541.1328186153654,-541.1328186153654,-541.1328186153654,-541.1328186153654,-541.1328186153654,0.0,0.0,0.0,490.1931457970471
39,2014-05-01,1102.1386036341037,-1661.554895272379,4334.966271119863,1102.1386036341037,1102.1386036341037,243.61652835352675,243.61652835352675,243.61652835352675,243.61652835352675,243.61652835352675,243.61652835352675,0.0,0.0,0.0,1345.7551319876304
40,2014-06-01,1175.3116641631852,-1318.127053860897,5149.816548918267,1175.3116641631852,1175.3116641631852,587.5165653323313,587.5165653323313,587.5165653323313,587.5165653323313,587.5165653323313,587.5165653323313,0.0,0.0,0.0,1762.8282294955166
41,2014-07-01,1250.5499625809693,-864.1981735456743,5519.853381777573,1250.5499625809693,1250.5499625809693,1099.8948840651346,1099.8948840651346,1099.8948840651346,1099.8948840651346,1099.8948840651346,1099.8948840651346,0.0,0.0,0.0,2350.444846646104
42,2014-08-01,1328.2962042793456,-491.49107178623285,5342.533672330296,1328.2962042793456,1328.2962042793456,1130.1004622197102,1130.1004622197102,1130.1004622197102,1130.1004622197102,1130.1004622197102,1130.1004622197102,0.0,0.0,0.0,2458.3966664990558
43,2014-09-01,1406.0424459777225,-18.68845521782791,5981.987022020297,1406.0424459777225,1406.0424459777225,1593.5336339596488,1593.5336339596488,1593.5336339596488,1593.5336339596488,1593.5336339596488,1593.5336339596488,0.0,0.0,0.0,2999.576079937371
44,2014-10-01,1481.2807443955062,-1130.015153814637,4761.719568417962,1481.2807443955062,1481.2807443955062,371.6272132430445,371.6272132430445,371.6272132430445,371.6272132430445,371.6272132430445,371.6272132430445,0.0,0.0,0.0,1852.9079576385507
