,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2009-03-01,-398.10604904533153,-1367.3153540168764,375.9110603482465,-398.1060490453315,-398.1060490453315,-130.81042996401536,-130.81042996401536,-130.81042996401536,-130.81042996401536,-130.81042996401536,-130.81042996401536,0.0,0.0,0.0,-528.9164790093469
1,2009-05-01,-372.3307861574395,-1066.9733002667158,621.8632860610439,-372.3307861574395,-372.3307861574395,120.28591438989405,120.28591438989405,120.28591438989405,120.28591438989405,120.28591438989405,120.28591438989405,0.0,0.0,0.0,-252.04487176754543
2,2009-08-01,-333.45661917897945,-966.5193067741696,788.8419054723632,-333.45661917897945,-333.45661917897945,247.53274359761403,247.53274359761403,247.53274359761403,247.53274359761403,247.53274359761403,247.53274359761403,0.0,0.0,0.0,-85.92387558136542
3,2009-09-01,-320.3577150884114,-930.2634164612587,812.6608644947156,-320.3577150884114,-320.3577150884114,303.38020803359007,303.38020803359007,303.38020803359007,303.38020803359007,303.38020803359007,303.38020803359007,0.0,0.0,0.0,-16.97750705482133
4,2009-10-01,-307.68135629108747,-840.3335366903527,951.8498576871178,-307.68135629108747,-307.68135629108747,355.42293943182585,355.42293943182585,355.42293943182585,355.42293943182585,355.42293943182585,355.42293943182585,0.0,0.0,0.0,47.741583140738385
5,2009-11-01,-294.5824518458022,-1170.0238930796372,536.2279666373781,-294.5824518458022,-294.5824518458022,12.754531235965798,12.754531235965798,12.754531235965798,12.754531235965798,12.754531235965798,12.754531235965798,0.0,0.0,0.0,-281.82792060983644
6,2009-12-01,-281.90609270520366,-1499.25687802907,343.3838263935583,-281.90609270520366,-281.90609270520366,-283.1022564293652,-283.1022564293652,-283.1022564293652,-283.1022564293652,-283.1022564293652,-283.1022564293652,0.0,0.0,0.0,-565.0083491345688
7,2010-01-01,-268.80718825991846,-1521.2819248526773,254.5624341851175,-268.80718825991846,-268.80718825991846,-360.23399541534155,-360.23399541534155,-360.23399541534155,-360.23399541534155,-360.23399541534155,-360.23399541534155,0.0,0.0,0.0,-629.0411836752601
8,2010-02-01,-255.70828381463323,-1531.1588727076974,197.3368277650475,-255.70828381463323,-255.70828381463323,-395.42430633838006,-395.42430633838006,-395.42430633838006,-395.42430633838006,-395.42430633838006,-395.42430633838006,0.0,0.0,0.0,-651.1325901530133
9,2010-03-01,-243.87701528340787,-1223.6921085427562,538.2521516865964,-243.87701528340787,-243.87701528340787,-134.50917188605288,-134.50917188605288,-134.50917188605288,-134.50917188605288,-134.50917188605288,-134.50917188605288,0.0,0.0,0.0,-378.38618716946075
10,2010-04-01,-230.77811067973136,-1198.3652695262515,518.6472622400772,-230.77811067973136,-230.77811067973136,-122.25855123398848,-122.25855123398848,-122.25855123398848,-122.25855123398848,-122.25855123398848,-122.25855123398848,0.0,0.0,0.0,-353.03666191371985
11,2010-05-01,-218.10175138585083,-1043.9546937450305,788.7079018143731,-218.10175138585083,-218.10175138585083,119.65628891911481,119.65628891911481,119.65628891911481,119.65628891911481,119.65628891911481,119.65628891911481,0.0,0.0,0.0,-98.44546246673602
12,2010-06-01,-205.00284678217432,-1015.391363707119,763.9183332937197,-205.00284678217432,-205.00284678217432,84.87428361576752,84.87428361576752,84.87428361576752,84.87428361576752,84.87428361576752,84.87428361576752,0.0,0.0,0.0,-120.12856316640679
13,2010-07-01,-192.32648748829385,-990.1731238886173,768.533418890162,-192.32648748829385,-192.32648748829385,121.00637780768541,121.00637780768541,121.00637780768541,121.00637780768541,121.00637780768541,121.00637780768541,0.0,0.0,0.0,-71.32010968060844
14,2010-08-01,-179.22758118627962,-794.3035423268639,1004.4153792252033,-179.22758118627962,-179.22758118627962,246.91833321857038,246.91833321857038,246.91833321857038,246.91833321857038,246.91833321857038,246.91833321857038,0.0,0.0,0.0,67.69075203229076
15,2010-09-01,-166.12867488426542,-808.6409598071614,989.2882641984218,-166.12867488426542,-166.12867488426542,306.95168752330017,306.95168752330017,306.95168752330017,306.95168752330017,306.95168752330017,306.95168752330017,0.0,0.0,0.0,140.82301263903474
16,2010-10-01,-153.45231394683228,-652.2197720831546,1082.5271379759404,-153.45231394683228,-153.45231394683228,360.60933424139876,360.60933424139876,360.60933424139876,360.60933424139876,360.60933424139876,360.60933424139876,0.0,0.0,0.0,207.15702029456648
17,2010-11-01,-140.35340764481805,-1080.415337325063,703.8574745742203,-140.35340764481805,-140.35340764481805,10.186885399043712,10.186885399043712,10.186885399043712,10.186885399043712,10.186885399043712,10.186885399043712,0.0,0.0,0.0,-130.16652224577433
18,2010-12-01,-127.67704681344188,-1254.996649246692,496.95416013165607,-127.67704681344188,-127.67704681344188,-284.2413420080346,-284.2413420080346,-284.2413420080346,-284.2413420080346,-284.2413420080346,-284.2413420080346,0.0,0.0,0.0,-411.91838882147647
19,2011-01-01,-114.5781406210199,-1364.5229011726033,350.9097897763067,-114.5781406210199,-114.5781406210199,-359.1977455266984,-359.1977455266984,-359.1977455266984,-359.1977455266984,-359.1977455266984,-359.1977455266984,0.0,0.0,0.0,-473.77588614771827
20,2011-02-01,-101.47923442859786,-1413.1242046917857,332.53341303471115,-101.47923442859786,-101.47923442859786,-392.7931141301294,-392.7931141301294,-392.7931141301294,-392.7931141301294,-392.7931141301294,-392.7931141301294,0.0,0.0,0.0,-494.2723485587273
21,2011-03-01,-89.64796431931343,-1113.2848918145319,627.5163293588047,-89.64796431931343,-89.64796431931343,-138.2791102440984,-138.2791102440984,-138.2791102440984,-138.2791102440984,-138.2791102440984,-138.2791102440984,0.0,0.0,0.0,-227.92707456341185
22,2011-04-01,-76.54905812689148,-1078.3140955459216,658.5379504695782,-76.54905812689148,-76.54905812689148,-121.43400741703532,-121.43400741703532,-121.43400741703532,-121.43400741703532,-121.43400741703532,-121.43400741703532,0.0,0.0,0.0,-197.98306554392678
23,2011-05-01,-63.872694298468424,-777.6133605134359,881.5082237972965,-63.872694298468424,-63.872694298468424,118.92257894479175,118.92257894479175,118.92257894479175,118.92257894479175,118.92257894479175,118.92257894479175,0.0,0.0,0.0,55.04988464632333
24,2011-06-01,-50.77378500909805,-851.7779362036183,911.7585670208898,-50.77378500909805,-50.77378500909805,83.13542219159446,83.13542219159446,83.13542219159446,83.13542219159446,83.13542219159446,83.13542219159446,0.0,0.0,0.0,32.36163718249641
