,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2009-07-01,-199.9672226265615,-430.8815910071033,80.83247219838094,-199.96722262656152,-199.96722262656152,31.732476878824173,31.732476878824173,31.732476878824173,31.732476878824173,31.732476878824173,31.732476878824173,0.0,0.0,0.0,-168.23474574773732
1,2009-11-01,-172.99045006868727,-393.3081332579739,114.36957269797269,-172.99045006868727,-172.99045006868727,35.17869604477157,35.17869604477157,35.17869604477157,35.17869604477157,35.17869604477157,35.17869604477157,0.0,0.0,0.0,-137.81175402391568
2,2010-03-01,-146.6716475732002,-415.22858788923224,78.25986959439483,-146.6716475732002,-146.6716475732002,-23.37637747590144,-23.37637747590144,-23.37637747590144,-23.37637747590144,-23.37637747590144,-23.37637747590144,0.0,0.0,0.0,-170.04802504910165
3,2010-05-01,-133.2929229713276,-332.7767607001423,183.51551727335112,-133.2929229713276,-133.2929229713276,63.15511307029518,63.15511307029518,63.15511307029518,63.15511307029518,63.15511307029518,63.15511307029518,0.0,0.0,0.0,-70.13780990103243
4,2010-06-01,-126.4938989933268,-331.5804090070923,154.27144739758126,-126.4938989933268,-126.4938989933268,42.472798659189046,42.472798659189046,42.472798659189046,42.472798659189046,42.472798659189046,42.472798659189046,0.0,0.0,0.0,-84.02110033413774
5,2010-07-01,-119.91419772650498,-336.16278228727964,170.16861136597367,-119.91419772650498,-119.91419772650498,25.696684652938462,25.696684652938462,25.696684652938462,25.696684652938462,25.696684652938462,25.696684652938462,0.0,0.0,0.0,-94.21751307356652
6,2010-08-01,-113.11517308412245,-306.2931545255117,201.98497688221875,-113.11517308412245,-113.11517308412245,60.2356583130275,60.2356583130275,60.2356583130275,60.2356583130275,60.2356583130275,60.2356583130275,0.0,0.0,0.0,-52.87951477109495
7,2010-09-01,-106.3161484417399,-300.94808093133497,211.49251793802623,-106.3161484417399,-106.3161484417399,65.18760243139589,65.18760243139589,65.18760243139589,65.18760243139589,65.18760243139589,65.18760243139589,0.0,0.0,0.0,-41.12854601034401
8,2010-10-01,-99.73644717491813,-264.3768887185652,252.63264818806954,-99.73644717491813,-99.73644717491813,93.76810027406471,93.76810027406471,93.76810027406471,93.76810027406471,93.76810027406471,93.76810027406471,0.0,0.0,0.0,-5.968346900853419
9,2010-11-01,-92.9374225214386,-311.52158705244653,175.4150716354086,-92.9374225214386,-92.9374225214386,33.41214475920297,33.41214475920297,33.41214475920297,33.41214475920297,33.41214475920297,33.41214475920297,0.0,0.0,0.0,-59.52527776223564
10,2011-01-01,-79.55869659039828,-452.6406873453909,46.23279365438242,-79.55869659039828,-79.55869659039828,-127.30488296368792,-127.30488296368792,-127.30488296368792,-127.30488296368792,-127.30488296368792,-127.30488296368792,0.0,0.0,0.0,-206.8635795540862
11,2011-02-01,-72.75967193691878,-453.715394691252,41.91164001574742,-72.75967193691878,-72.75967193691878,-116.0088995178256,-116.0088995178256,-116.0088995178256,-116.0088995178256,-116.0088995178256,-116.0088995178256,0.0,0.0,0.0,-188.76857145474438
12,2011-03-01,-66.61861741119533,-344.44849388682064,163.9132257792811,-66.61861741119533,-66.61861741119533,-24.708233137637613,-24.708233137637613,-24.708233137637613,-24.708233137637613,-24.708233137637613,-24.708233137637613,0.0,0.0,0.0,-91.32685054883294
13,2011-04-01,-59.81959287765562,-321.4258346602038,208.01568508836374,-59.81959287765562,-59.81959287765562,-5.840186260322885,-5.840186260322885,-5.840186260322885,-5.840186260322885,-5.840186260322885,-5.840186260322885,0.0,0.0,0.0,-65.6597791379785
14,2011-05-01,-53.23989171616552,-228.74515016493945,274.65782801803937,-53.23989171616552,-53.23989171616552,65.91502684810335,65.91502684810335,65.91502684810335,65.91502684810335,65.91502684810335,65.91502684810335,0.0,0.0,0.0,12.675135131937829
15,2011-06-01,-46.44086718262581,-259.4192222006204,259.0620401930255,-46.44086718262581,-46.44086718262581,42.965866276145114,42.965866276145114,42.965866276145114,42.965866276145114,42.965866276145114,42.965866276145114,0.0,0.0,0.0,-3.4750009064806946
16,2011-07-01,-39.86116602113569,-256.795772686694,214.87173377478547,-39.86116602113569,-39.86116602113569,19.660806965485737,19.660806965485737,19.660806965485737,19.660806965485737,19.660806965485737,19.660806965485737,0.0,0.0,0.0,-20.20035905564995
17,2011-08-01,-33.062141338151505,-212.33355056840327,274.8469296402847,-33.062141338151505,-33.062141338151505,59.43893870416694,59.43893870416694,59.43893870416694,59.43893870416694,59.43893870416694,59.43893870416694,0.0,0.0,0.0,26.37679736601543
18,2011-09-01,-26.263116655167323,-220.37765741823816,284.3326147443734,-26.263116655167323,-26.263116655167323,66.59086324634977,66.59086324634977,66.59086324634977,66.59086324634977,66.59086324634977,66.59086324634977,0.0,0.0,0.0,40.327746591182446
19,2011-10-01,-19.6834153490536,-162.80825856318143,343.2005775641486,-19.6834153490536,-19.6834153490536,99.34968684512792,99.34968684512792,99.34968684512792,99.34968684512792,99.34968684512792,99.34968684512792,0.0,0.0,0.0,79.66627149607432
20,2011-11-01,-12.884390666069418,-226.32624833723077,285.2018259569754,-12.884390666069418,-12.884390666069418,31.527816623580588,31.527816623580588,31.527816623580588,31.527816623580588,31.527816623580588,31.527816623580588,0.0,0.0,0.0,18.64342595751117
21,2011-12-01,-6.304689050969248,-361.5704364704197,135.2616974457427,-6.304689050969248,-6.304689050969248,-112.15181733067531,-112.15181733067531,-112.15181733067531,-112.15181733067531,-112.15181733067531,-112.15181733067531,0.0,0.0,0.0,-118.45650638164456
22,2012-01-01,0.49433595130088,-371.8697425823322,121.12646059952968,0.49433595130088,0.49433595130088,-127.7801913317902,-127.7801913317902,-127.7801913317902,-127.7801913317902,-127.7801913317902,-127.7801913317902,0.0,0.0,0.0,-127.28585538048932
23,2012-02-01,7.293360953571043,-355.3563836157653,122.73120422721574,7.293360953571043,7.293360953571043,-117.09294462835611,-117.09294462835611,-117.09294462835611,-117.09294462835611,-117.09294462835611,-117.09294462835611,0.0,0.0,0.0,-109.79958367478507
24,2012-03-01,13.653739181501185,-258.54273239522763,240.13231090742357,13.653739181501185,13.653739181501185,-20.597516177954624,-20.597516177954624,-20.597516177954624,-20.597516177954624,-20.597516177954624,-20.597516177954624,0.0,0.0,0.0,-6.943776996453439
25,2012-04-01,20.452764204008513,-247.33215838375946,250.82856883436602,20.452764204008513,20.452764204008513,-9.756723315965392,-9.756723315965392,-9.756723315965392,-9.756723315965392,-9.756723315965392,-9.756723315965392,0.0,0.0,0.0,10.696040888043122
26,2012-05-01,27.032465838693,-163.68688218554155,332.8537231696331,27.032465838693,27.032465838693,57.445829344578485,57.445829344578485,57.445829344578485,57.445829344578485,57.445829344578485,57.445829344578485,0.0,0.0,0.0,84.47829518327148
27,2012-06-01,33.83149086120026,-183.07573194991198,321.6221539977193,33.83149086120026,33.83149086120026,41.07457289611433,41.07457289611433,41.07457289611433,41.07457289611433,41.07457289611433,41.07457289611433,0.0,0.0,0.0,74.9060637573146
28,2012-07-01,40.41119249588475,-187.4472998518108,341.678652514674,40.41119249588475,40.41119249588475,37.76084830476438,37.76084830476438,37.76084830476438,37.76084830476438,37.76084830476438,37.76084830476438,0.0,0.0,0.0,78.17204080064913
29,2012-08-01,47.210221934805986,-160.28025718532416,363.3499182266551,47.210221934805986,47.210221934805986,62.20428027668749,62.20428027668749,62.20428027668749,62.20428027668749,62.20428027668749,62.20428027668749,0.0,0.0,0.0,109.41450221149347
30,2012-09-01,54.00925137372725,-132.56378207745192,372.0631131917205,54.00925137372725,54.00925137372725,62.73041092927174,62.73041092927174,62.73041092927174,62.73041092927174,62.73041092927174,62.73041092927174,0.0,0.0,0.0,116.739662302999
31,2012-10-01,60.588957282360745,-98.14663871921779,400.95171138404885,60.588957282360745,60.588957282360745,82.40131782831283,82.40131782831283,82.40131782831283,82.40131782831283,82.40131782831283,82.40131782831283,0.0,0.0,0.0,142.99027511067356
32,2012-11-01,67.38798672128195,-148.57548411232565,361.8799825228718,67.38798672128195,67.38798672128195,36.82577965064505,36.82577965064505,36.82577965064505,36.82577965064505,36.82577965064505,36.82577965064505,0.0,0.0,0.0,104.213766371927
33,2012-12-01,73.9676939911193,-290.35576045828816,209.66995620996346,73.9676939911193,73.9676939911193,-111.68761857333774,-111.68761857333774,-111.68761857333774,-111.68761857333774,-111.68761857333774,-111.68761857333774,0.0,0.0,0.0,-37.71992458221844
34,2013-01-01,80.76672483661794,-281.38801916776737,211.5314150759836,80.76672483661794,80.76672483661794,-126.34454945166688,-126.34454945166688,-126.34454945166688,-126.34454945166688,-126.34454945166688,-126.34454945166688,0.0,0.0,0.0,-45.57782461504894
35,2013-02-01,87.56575568211652,-274.1015302492327,226.87709020533367,87.56575568211652,87.56575568211652,-113.77492463687146,-113.77492463687146,-113.77492463687146,-113.77492463687146,-113.77492463687146,-113.77492463687146,0.0,0.0,0.0,-26.209168954754944
36,2013-03-01,93.70681580063139,-194.35148930787403,319.5524648366047,93.70681580063139,93.70681580063139,-22.005986520134414,-22.005986520134414,-22.005986520134414,-22.005986520134414,-22.005986520134414,-22.005986520134414,0.0,0.0,0.0,71.70082928049698
37,2013-04-01,100.50623134814285,-161.3913279622724,368.04993689108244,100.50623134814285,100.50623134814285,-8.517148170624228,-8.517148170624228,-8.517148170624228,-8.517148170624228,-8.517148170624228,-8.517148170624228,0.0,0.0,0.0,91.98908317751862
38,2013-05-01,107.0863109102507,-88.40641170903233,418.13980996633154,107.08631091025072,107.08631091025072,60.330654486045304,60.330654486045304,60.330654486045304,60.330654486045304,60.330654486045304,60.330654486045304,0.0,0.0,0.0,167.416965396296
39,2013-06-01,113.88572645776216,-107.4720281573698,392.02258737783256,113.88572645776216,113.88572645776216,41.842462085538834,41.842462085538834,41.842462085538834,41.842462085538834,41.842462085538834,41.842462085538834,0.0,0.0,0.0,155.728188543301
40,2013-07-01,120.46580601987004,-88.8976807609682,405.99108143011733,120.46580601987004,120.46580601987004,31.732476878805222,31.732476878805222,31.732476878805222,31.732476878805222,31.732476878805222,31.732476878805222,0.0,0.0,0.0,152.19828289867527
41,2013-08-01,127.3363734071074,-81.9637240018622,454.03631621460954,127.3363734071074,127.3363734071074,61.15816777077546,61.15816777077546,61.15816777077546,61.15816777077546,61.15816777077546,61.15816777077546,0.0,0.0,0.0,188.49454117788287
