,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2009-03-01,-284.4130965144335,-1119.3516107920234,404.6183804220412,-284.4130965144335,-284.4130965144335,-70.91787903602682,-70.91787903602682,-70.91787903602682,-70.91787903602682,-70.91787903602682,-70.91787903602682,0.0,0.0,0.0,-355.3309755504603
1,2009-04-01,-275.96818637320195,-1400.9018337596387,205.54303452051283,-275.96818637320195,-275.96818637320195,-330.4263214903273,-330.4263214903273,-330.4263214903273,-330.4263214903273,-330.4263214903273,-330.4263214903273,0.0,0.0,0.0,-606.3945078635293
2,2009-05-01,-267.79569268813907,-1185.8567604950886,417.5833248918653,-267.79569268813907,-267.79569268813907,-91.52383002909157,-91.52383002909157,-91.52383002909157,-91.52383002909157,-91.52383002909157,-91.52383002909157,0.0,0.0,0.0,-359.31952271723065
3,2009-06-01,-259.3507825469075,-911.2314304574821,635.7549020443338,-259.3507825469075,-259.3507825469075,114.348480823372,114.348480823372,114.348480823372,114.348480823372,114.348480823372,114.348480823372,0.0,0.0,0.0,-145.0023017235355
4,2009-07-01,-251.17828886184463,-739.0295819597927,837.4087386177249,-251.17828886184463,-251.17828886184463,369.9889392748594,369.9889392748594,369.9889392748594,369.9889392748594,369.9889392748594,369.9889392748594,0.0,0.0,0.0,118.81065041301474
5,2009-08-01,-242.73337881169277,-624.1565036736043,916.7804284991873,-242.73337881169277,-242.73337881169277,400.78291052552464,400.78291052552464,400.78291052552464,400.78291052552464,400.78291052552464,400.78291052552464,0.0,0.0,0.0,158.04953171383187
6,2009-09-01,-234.28846876154094,-676.7065640950921,860.3584891717655,-234.28846876154094,-234.28846876154094,327.90492011992416,327.90492011992416,327.90492011992416,327.90492011992416,327.90492011992416,327.90492011992416,0.0,0.0,0.0,93.61645135838322
7,2009-10-01,-226.11597516461975,-869.2107935705548,710.1534601456183,-226.11597516461975,-226.11597516461975,145.54405065142453,145.54405065142453,145.54405065142453,145.54405065142453,145.54405065142453,145.54405065142453,0.0,0.0,0.0,-80.57192451319523
8,2009-12-01,-209.49857151754682,-1282.8060325073732,208.85793933020312,-209.49857151754685,-209.49857151754685,-305.61117940152894,-305.61117940152894,-305.61117940152894,-305.61117940152894,-305.61117940152894,-305.61117940152894,0.0,0.0,0.0,-515.1097509190757
9,2010-01-01,-201.053661467395,-1110.5358785796436,516.5702585900058,-201.053661467395,-201.053661467395,-117.49123566448587,-117.49123566448587,-117.49123566448587,-117.49123566448587,-117.49123566448587,-117.49123566448587,0.0,0.0,0.0,-318.5448971318809
