,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2010-08-01,-2221.9505711096235,-2877.3455369398093,3000.5173203128693,-2221.9505711096235,-2221.9505711096235,2224.7735411735457,2224.7735411735457,2224.7735411735457,2224.7735411735457,2224.7735411735457,2224.7735411735457,0.0,0.0,0.0,2.8229700639221846
1,2010-09-01,-2134.608338539024,-3852.455904856197,1807.9191492888751,-2134.608338539024,-2134.608338539024,973.8965263518738,973.8965263518738,973.8965263518738,973.8965263518738,973.8965263518738,973.8965263518738,0.0,0.0,0.0,-1160.71181218715
2,2011-01-01,-1790.874391003114,-5674.505916294863,550.8808866208576,-1790.874391003114,-1790.874391003114,-689.2038507987575,-689.2038507987575,-689.2038507987575,-689.2038507987575,-689.2038507987575,-689.2038507987575,0.0,0.0,0.0,-2480.0782418018716
3,2011-04-01,-1537.3001674110492,-5251.311985577082,1019.5715576834824,-1537.3001674110492,-1537.3001674110492,-447.3272427554174,-447.3272427554174,-447.3272427554174,-447.3272427554174,-447.3272427554174,-447.3272427554174,0.0,0.0,0.0,-1984.6274101664667
4,2011-05-01,-1452.7754262136948,-4497.073097231951,1926.1032236626434,-1452.7754262136948,-1452.7754262136948,131.01629293694296,131.01629293694296,131.01629293694296,131.01629293694296,131.01629293694296,131.01629293694296,0.0,0.0,0.0,-1321.7591332767518
5,2011-06-01,-1365.4331921907544,-4005.231578869903,2158.085525665696,-1365.4331921907544,-1365.4331921907544,193.70188374710128,193.70188374710128,193.70188374710128,193.70188374710128,193.70188374710128,193.70188374710128,0.0,0.0,0.0,-1171.7313084436532
6,2011-07-01,-1280.908449587909,-3722.1983997550574,2187.5438982341134,-1280.908449587909,-1280.908449587909,557.816307340888,557.816307340888,557.816307340888,557.816307340888,557.816307340888,557.816307340888,0.0,0.0,0.0,-723.092142247021
7,2011-08-01,-1193.5662155649684,-1912.7484670496349,4005.615036179872,-1193.5662155649684,-1193.5662155649684,2206.51809365327,2206.51809365327,2206.51809365327,2206.51809365327,2206.51809365327,2206.51809365327,0.0,0.0,0.0,1012.9518780883018
8,2011-09-01,-1106.2239810772985,-3207.4593169401937,2693.665218343404,-1106.2239810772985,-1106.2239810772985,937.0266772437235,937.0266772437235,937.0266772437235,937.0266772437235,937.0266772437235,937.0266772437235,0.0,0.0,0.0,-169.197303833575
9,2011-10-01,-1021.699238024715,-4462.116858313808,1624.3620275737994,-1021.699238024715,-1021.699238024715,-262.6298240512324,-262.6298240512324,-262.6298240512324,-262.6298240512324,-262.6298240512324,-262.6298240512324,0.0,0.0,0.0,-1284.3290620759474
