,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2009-05-01,-2525.6690111263915,-7566.474114342705,1757.3893015407025,-2525.6690111263915,-2525.6690111263915,-381.7871271704668,-381.7871271704668,-381.7871271704668,-381.7871271704668,-381.7871271704668,-381.7871271704668,0.0,0.0,0.0,-2907.456138296858
1,2009-09-01,-2206.7721122763505,-7313.4715761044945,2238.503984494199,-2206.7721122763505,-2206.7721122763505,-392.70966528166764,-392.70966528166764,-392.70966528166764,-392.70966528166764,-392.70966528166764,-392.70966528166764,0.0,0.0,0.0,-2599.481777558018
2,2010-02-01,-1810.0954819994695,-5835.273397221777,3679.333002064717,-1810.0954819994695,-1810.0954819994695,848.3214048442914,848.3214048442914,848.3214048442914,848.3214048442914,848.3214048442914,848.3214048442914,0.0,0.0,0.0,-961.7740771551781
3,2010-04-01,-1657.1286768600194,-7376.341637931813,2076.354281706506,-1657.1286768600194,-1657.1286768600194,-842.3172991951726,-842.3172991951726,-842.3172991951726,-842.3172991951726,-842.3172991951726,-842.3172991951726,0.0,0.0,0.0,-2499.4459760551917
4,2010-06-01,-1498.9765562921125,-7078.623910748827,2232.6495631179837,-1498.9765562921125,-1498.9765562921125,-893.0715214234862,-893.0715214234862,-893.0715214234862,-893.0715214234862,-893.0715214234862,-893.0715214234862,0.0,0.0,0.0,-2392.0480777155985
5,2010-07-01,-1421.1967949680857,-6521.88177597932,3165.0993399850763,-1421.1967949680857,-1421.1967949680857,-186.04770830020377,-186.04770830020377,-186.04770830020377,-186.04770830020377,-186.04770830020377,-186.04770830020377,0.0,0.0,0.0,-1607.2445032682895
6,2010-08-01,-1340.8243749332578,-6340.426216238489,2955.83829274858,-1340.8243749332578,-1340.8243749332578,-276.1421422717828,-276.1421422717828,-276.1421422717828,-276.1421422717828,-276.1421422717828,-276.1421422717828,0.0,0.0,0.0,-1616.9665172050406
7,2010-09-01,-1260.4519548984301,-6681.104055806859,2735.434250702373,-1260.4519548984301,-1260.4519548984301,-408.9054175933291,-408.9054175933291,-408.9054175933291,-408.9054175933291,-408.9054175933291,-408.9054175933291,0.0,0.0,0.0,-1669.3573724917592
8,2010-10-01,-1182.672193574403,-6787.766764199039,2538.161845302693,-1182.672193574403,-1182.672193574403,-612.6172736202196,-612.6172736202196,-612.6172736202196,-612.6172736202196,-612.6172736202196,-612.6172736202196,0.0,0.0,0.0,-1795.2894671946228
9,2010-11-01,-1102.2997738878332,-5945.115428157136,3254.0466885392943,-1102.2997738878332,-1102.2997738878332,-45.294138784696756,-45.294138784696756,-45.294138784696756,-45.294138784696756,-45.294138784696756,-45.294138784696756,0.0,0.0,0.0,-1147.59391267253
10,2010-12-01,-1024.5200129008301,-5237.18539886834,4125.908257596497,-1024.5200129008301,-1024.5200129008301,575.2598018583999,575.2598018583999,575.2598018583999,575.2598018583999,575.2598018583999,575.2598018583999,0.0,0.0,0.0,-449.2602110424302
11,2011-01-01,-944.1475932142604,-4608.012579959513,4785.890238339069,-944.1475932142604,-944.1475932142604,1274.437768267591,1274.437768267591,1274.437768267591,1274.437768267591,1274.437768267591,1274.437768267591,0.0,0.0,0.0,330.2901750533307
12,2011-02-01,-863.7751735276906,-4875.303356638972,4493.720085843767,-863.7751735276906,-863.7751735276906,875.2279799538927,875.2279799538927,875.2279799538927,875.2279799538927,875.2279799538927,875.2279799538927,0.0,0.0,0.0,11.452806426202073
