,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2009-04-01,-617.8298471867988,-2717.3152030612387,675.219680595345,-617.8298471867988,-617.8298471867988,-326.27668674285724,-326.27668674285724,-326.27668674285724,-326.27668674285724,-326.27668674285724,-326.27668674285724,0.0,0.0,0.0,-944.106533929656
1,2009-06-01,-580.4329678640454,-2191.4679833342107,1056.89511648861,-580.4329678640454,-580.4329678640454,92.24846077640393,92.24846077640393,92.24846077640393,92.24846077640393,92.24846077640393,92.24846077640393,0.0,0.0,0.0,-488.18450708764146
2,2009-07-01,-562.0410600003962,-1894.3325858113235,1386.5272024312917,-562.0410600003962,-562.0410600003962,366.51473291366636,366.51473291366636,366.51473291366636,366.51473291366636,366.51473291366636,366.51473291366636,0.0,0.0,0.0,-195.52632708672985
3,2009-09-01,-524.031117082188,-1728.777974585801,1665.5220635104984,-524.031117082188,-524.031117082188,340.1355771491206,340.1355771491206,340.1355771491206,340.1355771491206,340.1355771491206,340.1355771491206,0.0,0.0,0.0,-183.89553993306737
4,2009-10-01,-505.6392092185388,-1793.5190523949946,1556.910495533233,-505.6392092185388,-505.6392092185388,339.396954223261,339.396954223261,339.396954223261,339.396954223261,339.396954223261,339.396954223261,0.0,0.0,0.0,-166.2422549952778
5,2009-11-01,-486.63423796383665,-2225.59371238325,1315.3689879206527,-486.63423796383665,-486.63423796383665,8.60981889426073,8.60981889426073,8.60981889426073,8.60981889426073,8.60981889426073,8.60981889426073,0.0,0.0,0.0,-478.0244190695759
6,2009-12-01,-468.2423302979958,-2459.1118231601586,742.8179887252029,-468.2423302979958,-468.2423302979958,-450.9935354470767,-450.9935354470767,-450.9935354470767,-450.9935354470767,-450.9935354470767,-450.9935354470767,0.0,0.0,0.0,-919.2358657450725
7,2010-01-01,-449.2373590432935,-2281.798352160289,1005.7522057165114,-449.2373590432935,-449.2373590432935,-322.67260332629365,-322.67260332629365,-322.67260332629365,-322.67260332629365,-322.67260332629365,-322.67260332629365,0.0,0.0,0.0,-771.9099623695872
8,2010-02-01,-430.2323877885914,-2344.4486204469276,1074.2199610823538,-430.2323877885914,-430.2323877885914,-265.24901629851905,-265.24901629851905,-265.24901629851905,-265.24901629851905,-265.24901629851905,-265.24901629851905,0.0,0.0,0.0,-695.4814040871104
9,2010-03-01,-413.06660730047315,-1812.3243114870256,1571.7981558063266,-413.06660730047315,-413.06660730047315,281.17655883065845,281.17655883065845,281.17655883065845,281.17655883065845,281.17655883065845,281.17655883065845,0.0,0.0,0.0,-131.8900484698147
10,2010-04-01,-394.0616330007831,-2456.766525521718,1094.6224037945003,-394.0616330007831,-394.0616330007831,-221.15768581992103,-221.15768581992103,-221.15768581992103,-221.15768581992103,-221.15768581992103,-221.15768581992103,0.0,0.0,0.0,-615.2193188207041
11,2010-05-01,-375.6697223881798,-2097.4555553947466,1263.232792553306,-375.6697223881798,-375.6697223881798,-21.49876031820999,-21.49876031820999,-21.49876031820999,-21.49876031820999,-21.49876031820999,-21.49876031820999,0.0,0.0,0.0,-397.1684827063898
12,2010-06-01,-356.6647480884898,-2016.8601420672878,1403.4440791747022,-356.6647480884898,-356.6647480884898,65.57300970021547,65.57300970021547,65.57300970021547,65.57300970021547,65.57300970021547,65.57300970021547,0.0,0.0,0.0,-291.0917383882743
13,2010-07-01,-338.27283747588655,-1715.1376983754392,1563.8760411143428,-338.27283747588655,-338.27283747588655,283.71973978280516,283.71973978280516,283.71973978280516,283.71973978280516,283.71973978280516,283.71973978280516,0.0,0.0,0.0,-54.553097693081384
14,2010-08-01,-319.26784946744533,-1790.6124164829553,1676.9543135024185,-319.26784946744533,-319.26784946744533,202.0127138136771,202.0127138136771,202.0127138136771,202.0127138136771,202.0127138136771,202.0127138136771,0.0,0.0,0.0,-117.25513565376824
15,2010-09-01,-300.2628614590041,-1660.3969831801146,1802.9305383032001,-300.2628614590041,-300.2628614590041,346.9955013770703,346.9955013770703,346.9955013770703,346.9955013770703,346.9955013770703,346.9955013770703,0.0,0.0,0.0,46.732639918066184
