,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2010-01-01,-774.5253780409287,-2763.1883358047494,188.3071032320127,-774.5253780409287,-774.5253780409287,-430.9139516543632,-430.9139516543632,-430.9139516543632,-430.9139516543632,-430.9139516543632,-430.9139516543632,0.0,0.0,0.0,-1205.439329695292
1,2010-03-01,-711.3213801341428,-2214.208982011475,651.6896506046138,-711.3213801341428,-711.3213801341428,-126.08340620962082,-126.08340620962082,-126.08340620962082,-126.08340620962082,-126.08340620962082,-126.08340620962082,0.0,0.0,0.0,-837.4047863437636
2,2010-04-01,-678.1124998780351,-2710.6673558915118,455.7475094103749,-678.1124998780351,-678.1124998780351,-396.5156846514906,-396.5156846514906,-396.5156846514906,-396.5156846514906,-396.5156846514906,-396.5156846514906,0.0,0.0,0.0,-1074.6281845295257
3,2010-05-01,-645.9748738237372,-2361.4717072198773,706.1483266650239,-645.9748738237372,-645.9748738237372,-132.91062916494096,-132.91062916494096,-132.91062916494096,-132.91062916494096,-132.91062916494096,-132.91062916494096,0.0,0.0,0.0,-778.8855029886781
4,2010-06-01,-612.7659935676294,-1932.6361484654744,1075.4005999076835,-612.7659935676294,-612.7659935676294,227.75142500522603,227.75142500522603,227.75142500522603,227.75142500522603,227.75142500522603,227.75142500522603,0.0,0.0,0.0,-385.0145685624034
5,2010-07-01,-580.6283674279787,-1316.5776354314742,1745.8979896602355,-580.6283674279787,-580.6283674279787,805.3081290046495,805.3081290046495,805.3081290046495,805.3081290046495,805.3081290046495,805.3081290046495,0.0,0.0,0.0,224.67976157667078
6,2010-08-01,-547.4194870836731,-1038.2333354898528,1866.6524256949408,-547.4194870836731,-547.4194870836731,899.3674145827765,899.3674145827765,899.3674145827765,899.3674145827765,899.3674145827765,899.3674145827765,0.0,0.0,0.0,351.94792749910346
7,2010-09-01,-514.2106067393673,-1622.0818939185726,1329.8066321867964,-514.2106067393673,-514.2106067393673,372.17031733501716,372.17031733501716,372.17031733501716,372.17031733501716,372.17031733501716,372.17031733501716,0.0,0.0,0.0,-142.04028940435018
8,2010-10-01,-482.07298059971674,-1892.9443420262282,1018.7738249300489,-482.07298059971674,-482.07298059971674,37.85672898468647,37.85672898468647,37.85672898468647,37.85672898468647,37.85672898468647,37.85672898468647,0.0,0.0,0.0,-444.2162516150303
9,2010-11-01,-448.8640996462119,-2253.300228981263,826.1717053671048,-448.8640996462119,-448.8640996462119,-235.282240053744,-235.282240053744,-235.282240053744,-235.282240053744,-235.282240053744,-235.282240053744,0.0,0.0,0.0,-684.1463396999559
10,2010-12-01,-416.7264729170137,-2478.295679678837,683.0278878669458,-416.7264729170137,-416.7264729170137,-530.1648341779428,-530.1648341779428,-530.1648341779428,-530.1648341779428,-530.1648341779428,-530.1648341779428,0.0,0.0,0.0,-946.8913070949566
