,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2008-09-01,-1380.791056267087,-2295.1946919122533,1090.0859316926933,-1380.791056267087,-1380.791056267087,750.9610170681138,750.9610170681138,750.9610170681138,750.9610170681138,750.9610170681138,750.9610170681138,0.0,0.0,0.0,-629.8300391989732
1,2009-11-01,-877.4284704999922,-2682.0660612674887,568.6024321930239,-877.4284704999922,-877.4284704999922,-243.8409804370875,-243.8409804370875,-243.8409804370875,-243.8409804370875,-243.8409804370875,-243.8409804370875,0.0,0.0,0.0,-1121.2694509370797
2,2009-12-01,-841.9804010797741,-2942.333731169014,288.2836997648334,-841.9804010797741,-841.9804010797741,-451.41099855316423,-451.41099855316423,-451.41099855316423,-451.41099855316423,-451.41099855316423,-451.41099855316423,0.0,0.0,0.0,-1293.3913996329384
3,2010-01-01,-805.350729345549,-3020.2615556791347,301.8832580180308,-805.350729345549,-805.350729345549,-470.07969729909394,-470.07969729909394,-470.07969729909394,-470.07969729909394,-470.07969729909394,-470.07969729909394,0.0,0.0,0.0,-1275.430426644643
4,2010-04-01,-699.0065210848951,-2914.172467111933,548.086281779077,-699.0065210848951,-699.0065210848951,-539.3277566004266,-539.3277566004266,-539.3277566004266,-539.3277566004266,-539.3277566004266,-539.3277566004266,0.0,0.0,0.0,-1238.3342776853217
5,2010-05-01,-663.5584522227051,-2523.474389570602,963.7425872261313,-663.5584522227051,-663.5584522227051,-67.13781865989236,-67.13781865989236,-67.13781865989236,-67.13781865989236,-67.13781865989236,-67.13781865989236,0.0,0.0,0.0,-730.6962708825974
6,2010-06-01,-626.9287810651086,-1925.043720277665,1314.1527553527073,-626.9287810651086,-626.9287810651086,401.44265174024696,401.44265174024696,401.44265174024696,401.44265174024696,401.44265174024696,401.44265174024696,0.0,0.0,0.0,-225.48612932486168
7,2010-07-01,-591.4807122029185,-1439.8972766046436,1989.7604323405315,-591.4807122029185,-591.4807122029185,798.1614679400715,798.1614679400715,798.1614679400715,798.1614679400715,798.1614679400715,798.1614679400715,0.0,0.0,0.0,206.68075573715294
8,2010-08-01,-554.8510410453221,-1207.6909460993375,2267.52892208709,-554.8510410453221,-554.8510410453221,1062.1189927366468,1062.1189927366468,1062.1189927366468,1062.1189927366468,1062.1189927366468,1062.1189927366468,0.0,0.0,0.0,507.2679516913247
9,2010-09-01,-518.2213692175433,-1442.578837297896,1886.4725524061148,-518.2213692175433,-518.2213692175433,733.6299332677504,733.6299332677504,733.6299332677504,733.6299332677504,733.6299332677504,733.6299332677504,0.0,0.0,0.0,215.40856405020713
10,2010-10-01,-482.7732997067897,-2251.782142430133,1289.8319794102817,-482.7732997067897,-482.7732997067897,-51.630801852528705,-51.630801852528705,-51.630801852528705,-51.630801852528705,-51.630801852528705,-51.630801852528705,0.0,0.0,0.0,-534.4041015593184
11,2010-11-01,-446.1436278790111,-2293.6353689555644,1002.4120754377878,-446.1436278790111,-446.1436278790111,-248.79838940050186,-248.79838940050186,-248.79838940050186,-248.79838940050186,-248.79838940050186,-248.79838940050186,0.0,0.0,0.0,-694.9420172795129
12,2010-12-01,-410.69555836825754,-2621.1321038432143,783.8136219451328,-410.69555836825754,-410.69555836825754,-446.89133554754477,-446.89133554754477,-446.89133554754477,-446.89133554754477,-446.89133554754477,-446.89133554754477,0.0,0.0,0.0,-857.5868939158023
13,2011-01-01,-374.0658858584336,-2474.8484729570027,870.6230296370366,-374.0658858584336,-374.0658858584336,-470.84961312533034,-470.84961312533034,-470.84961312533034,-470.84961312533034,-470.84961312533034,-470.84961312533034,0.0,0.0,0.0,-844.9154989837639
14,2011-02-01,-337.43621334860995,-2727.541762491324,621.0730808922751,-337.43621334860995,-337.43621334860995,-724.8047033187603,-724.8047033187603,-724.8047033187603,-724.8047033187603,-724.8047033187603,-724.8047033187603,0.0,0.0,0.0,-1062.2409166673701
15,2011-03-01,-304.35134785586587,-2364.1314288630115,1047.3321587639803,-304.35134785586587,-304.35134785586587,-428.6958504520658,-428.6958504520658,-428.6958504520658,-428.6958504520658,-428.6958504520658,-428.6958504520658,0.0,0.0,0.0,-733.0471983079317
16,2011-04-01,-267.7216753460422,-2407.5881572621843,1006.970076063264,-267.7216753460422,-267.7216753460422,-529.163406028164,-529.163406028164,-529.163406028164,-529.163406028164,-529.163406028164,-529.163406028164,0.0,0.0,0.0,-796.8850813742063
17,2011-05-01,-232.27360508707875,-1963.043989200401,1503.2947610472124,-232.27360508707875,-232.27360508707875,-71.77931183523599,-71.77931183523599,-71.77931183523599,-71.77931183523599,-71.77931183523599,-71.77931183523599,0.0,0.0,0.0,-304.05291692231475
18,2011-06-01,-195.64393248615002,-1426.91198028665,1919.1511940163034,-195.64393248615002,-195.64393248615002,404.9463020946337,404.9463020946337,404.9463020946337,404.9463020946337,404.9463020946337,404.9463020946337,0.0,0.0,0.0,209.3023696084837
19,2011-07-01,-160.19586222718652,-984.6293827339248,2264.06381621585,-160.19586222718652,-160.19586222718652,785.9711277528344,785.9711277528344,785.9711277528344,785.9711277528344,785.9711277528344,785.9711277528344,0.0,0.0,0.0,625.7752655256479
20,2011-08-01,-123.56618962625765,-738.1607901896591,2777.83779499921,-123.56618962625765,-123.56618962625765,1058.0595730791538,1058.0595730791538,1058.0595730791538,1058.0595730791538,1058.0595730791538,1058.0595730791538,0.0,0.0,0.0,934.4933834528961
21,2011-09-01,-86.93651702532878,-1087.7306778584052,2304.8157704747387,-86.93651702532878,-86.93651702532878,725.5158337902637,725.5158337902637,725.5158337902637,725.5158337902637,725.5158337902637,725.5158337902637,0.0,0.0,0.0,638.5793167649349
22,2011-10-01,-51.488445085069394,-1782.9001635592585,1626.7716330613544,-51.488445085069394,-51.488445085069394,-21.982788323934038,-21.982788323934038,-21.982788323934038,-21.982788323934038,-21.982788323934038,-21.982788323934038,0.0,0.0,0.0,-73.47123340900343
23,2011-11-01,-14.858770746801591,-1933.4030716053123,1455.563465913238,-14.858770746801591,-14.858770746801591,-254.0409746398779,-254.0409746398779,-254.0409746398779,-254.0409746398779,-254.0409746398779,-254.0409746398779,0.0,0.0,0.0,-268.8997453866795
24,2011-12-01,20.589301193457533,-2163.2381061978776,1173.8359251228355,20.589301193457533,20.589301193457533,-442.44045388084345,-442.44045388084345,-442.44045388084345,-442.44045388084345,-442.44045388084345,-442.44045388084345,0.0,0.0,0.0,-421.85115268738593
25,2012-01-01,57.21897553172561,-2108.4439684084277,1102.8914817876978,57.21897553172561,57.21897553172561,-471.8584892344144,-471.8584892344144,-471.8584892344144,-471.8584892344144,-471.8584892344144,-471.8584892344144,0.0,0.0,0.0,-414.63951370268876
26,2012-02-01,93.848827948664,-2285.9565769075657,1120.2682833750432,93.848827948664,93.848827948664,-733.2211935491017,-733.2211935491017,-733.2211935491017,-733.2211935491017,-733.2211935491017,-733.2211935491017,0.0,0.0,0.0,-639.3723656004377
27,2012-03-01,128.11546408063833,-2104.7522515487253,1433.3035409160334,128.11546408063833,128.11546408063833,-416.01362642831424,-416.01362642831424,-416.01362642831424,-416.01362642831424,-416.01362642831424,-416.01362642831424,0.0,0.0,0.0,-287.8981623476759
28,2012-04-01,164.745316497577,-2133.1216348569938,1323.9007642211384,164.745316497577,164.745316497577,-559.0463399257761,-559.0463399257761,-559.0463399257761,-559.0463399257761,-559.0463399257761,-559.0463399257761,0.0,0.0,0.0,-394.30102342819913
29,2012-05-01,200.1935607720332,-1677.4255658226607,1830.5415074328253,200.1935607720332,200.1935607720332,-58.18856781258072,-58.18856781258072,-58.18856781258072,-58.18856781258072,-58.18856781258072,-58.18856781258072,0.0,0.0,0.0,142.0049929594525
30,2012-06-01,236.82341971210195,-1008.0817158900031,2348.3438496817553,236.82341971210195,236.82341971210195,393.80057766217163,393.80057766217163,393.80057766217163,393.80057766217163,393.80057766217163,393.80057766217163,0.0,0.0,0.0,630.6239973742736
31,2012-07-01,272.27167029926557,-586.5766131936463,2859.9702406859396,272.27167029926557,272.27167029926557,821.9302037800785,821.9302037800785,821.9302037800785,821.9302037800785,821.9302037800785,821.9302037800785,0.0,0.0,0.0,1094.2018740793442
32,2012-08-01,308.9015292393343,-206.62351059097685,2947.9103009011505,308.9015292393343,308.9015292393343,1070.1287590005486,1070.1287590005486,1070.1287590005486,1070.1287590005486,1070.1287590005486,1070.1287590005486,0.0,0.0,0.0,1379.0302882398828
33,2012-09-01,345.53138817940334,-731.6226921388536,2649.6589001339485,345.53138817940334,345.53138817940334,750.9610170681335,750.9610170681335,750.9610170681335,750.9610170681335,750.9610170681335,750.9610170681335,0.0,0.0,0.0,1096.492405247537
