,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2010-09-01,-1642.4427906701271,-3641.1173377052883,2151.9739809422913,-1642.4427906701271,-1642.4427906701271,815.8653752933108,815.8653752933108,815.8653752933108,815.8653752933108,815.8653752933108,815.8653752933108,0.0,0.0,0.0,-826.5774153768164
1,2011-03-01,-1415.6643220763701,-4677.500442974701,925.051593270021,-1415.6643220763704,-1415.6643220763704,-358.1675415168571,-358.1675415168571,-358.1675415168571,-358.1675415168571,-358.1675415168571,-358.1675415168571,0.0,0.0,0.0,-1773.8318635932274
2,2011-07-01,-1262.8081167258822,-3253.114705663356,2439.2729535178255,-1262.8081167258822,-1262.8081167258822,752.589602390702,752.589602390702,752.589602390702,752.589602390702,752.589602390702,752.589602390702,0.0,0.0,0.0,-510.2185143351802
3,2011-08-01,-1223.9676055302662,-3098.0399503632007,2789.6586411228286,-1223.9676055302662,-1223.9676055302662,1125.3933876576336,1125.3933876576336,1125.3933876576336,1125.3933876576336,1125.3933876576336,1125.3933876576336,0.0,0.0,0.0,-98.57421787263252
4,2011-09-01,-1185.1270943346503,-3189.3244934136696,2465.384720787967,-1185.1270943346503,-1185.1270943346503,724.7294443666595,724.7294443666595,724.7294443666595,724.7294443666595,724.7294443666595,724.7294443666595,0.0,0.0,0.0,-460.3976499679908
5,2011-10-01,-1147.5395024359573,-3214.601156469503,2565.009588506561,-1147.5395024359573,-1147.5395024359573,891.1402887801943,891.1402887801943,891.1402887801943,891.1402887801943,891.1402887801943,891.1402887801943,0.0,0.0,0.0,-256.399213655763
6,2011-11-01,-1108.6989908073078,-3701.559332789827,2278.0376806597196,-1108.6989908073078,-1108.6989908073078,489.2873071605594,489.2873071605594,489.2873071605594,489.2873071605594,489.2873071605594,489.2873071605594,0.0,0.0,0.0,-619.4116836467484
7,2011-12-01,-1071.1113989086152,-3224.6016917269826,2529.791808804854,-1071.1113989086152,-1071.1113989086152,845.5201601317191,845.5201601317191,845.5201601317191,845.5201601317191,845.5201601317191,845.5201601317191,0.0,0.0,0.0,-225.59123877689615
8,2012-01-01,-1032.2708870939484,-3729.7295452324797,2011.177702501796,-1032.2708870939484,-1032.2708870939484,124.23130652325194,124.23130652325194,124.23130652325194,124.23130652325194,124.23130652325194,124.23130652325194,0.0,0.0,0.0,-908.0395805706964
9,2012-02-01,-993.4303752792817,-5576.403306848125,-19.192962275578598,-993.4303752792817,-993.4303752792817,-1924.8984840027485,-1924.8984840027485,-1924.8984840027485,-1924.8984840027485,-1924.8984840027485,-1924.8984840027485,0.0,0.0,0.0,-2918.3288592820304
10,2012-03-01,-957.0957029365289,-4664.08880560558,635.6170066325902,-957.0957029365289,-957.0957029365289,-1042.0003685033303,-1042.0003685033303,-1042.0003685033303,-1042.0003685033303,-1042.0003685033303,-1042.0003685033303,0.0,0.0,0.0,-1999.0960714398593
11,2012-04-01,-918.2551911218623,-4393.44663446753,1206.0699570179563,-918.2551911218623,-918.2551911218623,-639.0291681974788,-639.0291681974788,-639.0291681974788,-639.0291681974788,-639.0291681974788,-639.0291681974788,0.0,0.0,0.0,-1557.284359319341
12,2012-05-01,-880.6676013526471,-3802.292584313942,1969.749206380502,-880.6676013526471,-880.6676013526471,-37.87440662094181,-37.87440662094181,-37.87440662094181,-37.87440662094181,-37.87440662094181,-37.87440662094181,0.0,0.0,0.0,-918.542007973589
