,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2010-09-01,-1642.4427906701271,-3816.185357007142,1898.5354670410472,-1642.4427906701271,-1642.4427906701271,815.8653752933108,815.8653752933108,815.8653752933108,815.8653752933108,815.8653752933108,815.8653752933108,0.0,0.0,0.0,-826.5774153768164
1,2011-03-01,-1415.6643220763701,-4554.261047825946,801.4724564010721,-1415.6643220763704,-1415.6643220763704,-358.1675415168571,-358.1675415168571,-358.1675415168571,-358.1675415168571,-358.1675415168571,-358.1675415168571,0.0,0.0,0.0,-1773.8318635932274
2,2011-07-01,-1262.8081167258822,-3328.548835800425,2407.1423287836997,-1262.8081167258822,-1262.8081167258822,752.589602390702,752.589602390702,752.589602390702,752.589602390702,752.589602390702,752.589602390702,0.0,0.0,0.0,-510.2185143351802
3,2011-08-01,-1223.9676055302662,-2796.183601113709,2761.0268381928195,-1223.9676055302662,-1223.9676055302662,1125.3933876576336,1125.3933876576336,1125.3933876576336,1125.3933876576336,1125.3933876576336,1125.3933876576336,0.0,0.0,0.0,-98.57421787263252
4,2011-09-01,-1185.1270943346503,-3539.165408993381,2222.2972785258758,-1185.1270943346503,-1185.1270943346503,724.7294443666595,724.7294443666595,724.7294443666595,724.7294443666595,724.7294443666595,724.7294443666595,0.0,0.0,0.0,-460.3976499679908
5,2011-10-01,-1147.5395024359573,-3183.6674538551238,2770.1241481339484,-1147.5395024359573,-1147.5395024359573,891.1402887801943,891.1402887801943,891.1402887801943,891.1402887801943,891.1402887801943,891.1402887801943,0.0,0.0,0.0,-256.399213655763
6,2011-11-01,-1108.6989908073078,-3249.5853682364705,2364.7845389239224,-1108.6989908073078,-1108.6989908073078,489.2873071605594,489.2873071605594,489.2873071605594,489.2873071605594,489.2873071605594,489.2873071605594,0.0,0.0,0.0,-619.4116836467484
7,2011-12-01,-1071.1113989086152,-3154.4529083614407,2730.6491381284127,-1071.1113989086152,-1071.1113989086152,845.5201601317191,845.5201601317191,845.5201601317191,845.5201601317191,845.5201601317191,845.5201601317191,0.0,0.0,0.0,-225.59123877689615
8,2012-01-01,-1032.2708870939484,-3716.4677151803526,2098.456294883769,-1032.2708870939484,-1032.2708870939484,124.23130652325194,124.23130652325194,124.23130652325194,124.23130652325194,124.23130652325194,124.23130652325194,0.0,0.0,0.0,-908.0395805706964
9,2012-02-01,-993.4303752792817,-5909.809729751227,30.374882511693542,-993.4303752792817,-993.4303752792817,-1924.8984840027485,-1924.8984840027485,-1924.8984840027485,-1924.8984840027485,-1924.8984840027485,-1924.8984840027485,0.0,0.0,0.0,-2918.3288592820304
10,2012-03-01,-957.0957029365289,-4848.351970001019,898.168149192919,-957.0957029365289,-957.0957029365289,-1042.0003685033303,-1042.0003685033303,-1042.0003685033303,-1042.0003685033303,-1042.0003685033303,-1042.0003685033303,0.0,0.0,0.0,-1999.0960714398593
11,2012-04-01,-918.2551911218623,-4649.169857272775,1309.363713864078,-918.2551911218623,-918.2551911218623,-639.0291681974788,-639.0291681974788,-639.0291681974788,-639.0291681974788,-639.0291681974788,-639.0291681974788,0.0,0.0,0.0,-1557.284359319341
12,2012-05-01,-880.6676013526471,-3751.571557200603,2079.136363906823,-880.6676013526471,-880.6676013526471,-37.87440662094181,-37.87440662094181,-37.87440662094181,-37.87440662094181,-37.87440662094181,-37.87440662094181,0.0,0.0,0.0,-918.542007973589
13,2012-06-01,-841.827091924458,-3233.60833576481,2616.4252981614113,-841.827091924458,-841.827091924458,558.7642212501161,558.7642212501161,558.7642212501161,558.7642212501161,558.7642212501161,558.7642212501161,0.0,0.0,0.0,-283.062870674342
14,2012-07-01,-804.2395021552429,-2610.4731745054664,3199.059420410807,-804.2395021552429,-804.2395021552429,998.3506097831478,998.3506097831478,998.3506097831478,998.3506097831478,998.3506097831478,998.3506097831478,0.0,0.0,0.0,194.11110762790486
15,2012-08-01,-765.3989931183238,-2166.3999987999973,3610.7848859608007,-765.3989931183238,-765.3989931183238,1480.486369539728,1480.486369539728,1480.486369539728,1480.486369539728,1480.486369539728,1480.486369539728,0.0,0.0,0.0,715.0873764214042
16,2012-09-01,-726.5584840814045,-2458.317949034876,3132.7964860176653,-726.5584840814045,-726.5584840814045,1012.1336989106077,1012.1336989106077,1012.1336989106077,1012.1336989106077,1012.1336989106077,1012.1336989106077,0.0,0.0,0.0,285.5752148292032
17,2012-10-01,-688.9708946908374,-2822.7654257921795,2901.4271327456167,-688.9708946908374,-688.9708946908374,554.2695976072627,554.2695976072627,554.2695976072627,554.2695976072627,554.2695976072627,554.2695976072627,0.0,0.0,0.0,-134.7012970835748
18,2012-11-01,-650.1303856539183,-3534.5623677761437,2290.7182176941938,-650.1303856539183,-650.1303856539183,102.64481857958778,102.64481857958778,102.64481857958778,102.64481857958778,102.64481857958778,102.64481857958778,0.0,0.0,0.0,-547.4855670743306
19,2012-12-01,-612.5427964534581,-2937.6319375534335,2666.895981861464,-612.5427964534581,-612.5427964534581,403.1778336653141,403.1778336653141,403.1778336653141,403.1778336653141,403.1778336653141,403.1778336653141,0.0,0.0,0.0,-209.364962788144
20,2013-01-01,-573.7022876129823,-3236.286700852914,2307.789968423005,-573.7022876129823,-573.7022876129823,220.4758888513358,220.4758888513358,220.4758888513358,220.4758888513358,220.4758888513358,220.4758888513358,0.0,0.0,0.0,-353.2263987616465
21,2013-02-01,-534.8617787725067,-4086.290749463251,1666.2823246616986,-534.8617787725067,-534.8617787725067,-525.767308920364,-525.767308920364,-525.767308920364,-525.767308920364,-525.767308920364,-525.767308920364,0.0,0.0,0.0,-1060.6290876928706
22,2013-03-01,-499.7800288520771,-4343.956200411477,1415.521126434582,-499.7800288520771,-499.7800288520771,-822.4675393503416,-822.4675393503416,-822.4675393503416,-822.4675393503416,-822.4675393503416,-822.4675393503416,0.0,0.0,0.0,-1322.2475682024187
23,2013-04-01,-460.93951992465406,-4033.933210200428,1810.7991602283812,-460.93951992465406,-460.93951992465406,-497.59557641062963,-497.59557641062963,-497.59557641062963,-497.59557641062963,-497.59557641062963,-497.59557641062963,0.0,0.0,0.0,-958.5350963352837
24,2013-05-01,-423.3519306400511,-3238.156514629436,2286.178521328944,-423.3519306400511,-423.3519306400511,7.949430385696776,7.949430385696776,7.949430385696776,7.949430385696776,7.949430385696776,7.949430385696776,0.0,0.0,0.0,-415.4025002543543
25,2013-06-01,-384.51142171262796,-2849.2223391798952,3114.32528878153,-384.51142171262796,-384.51142171262796,569.3287486161115,569.3287486161115,569.3287486161115,569.3287486161115,569.3287486161115,569.3287486161115,0.0,0.0,0.0,184.81732690348355
26,2013-07-01,-346.92383246486907,-2533.4725761517966,3459.828764506993,-346.92383246486907,-346.92383246486907,919.0353519585594,919.0353519585594,919.0353519585594,919.0353519585594,919.0353519585594,919.0353519585594,0.0,0.0,0.0,572.1115194936904
27,2013-08-01,-308.08332357551865,-1550.223554890082,3968.7875504571284,-308.08332357551865,-308.08332357551865,1361.8003680970542,1361.8003680970542,1361.8003680970542,1361.8003680970542,1361.8003680970542,1361.8003680970542,0.0,0.0,0.0,1053.7170445215356
28,2013-09-01,-269.2428146861678,-2355.9936004744745,3640.508492073176,-269.2428146861678,-269.2428146861678,911.7100638329772,911.7100638329772,911.7100638329772,911.7100638329772,911.7100638329772,911.7100638329772,0.0,0.0,0.0,642.4672491468094
29,2013-10-01,-231.6552254384089,-2490.751075928459,3221.1813744837746,-231.6552254384089,-231.6552254384089,662.0876387875642,662.0876387875642,662.0876387875642,662.0876387875642,662.0876387875642,662.0876387875642,0.0,0.0,0.0,430.43241334915524
30,2013-11-01,-192.81471648536947,-2789.7699238621913,2826.2107739545563,-192.81471648536947,-192.81471648536947,230.8769190884992,230.8769190884992,230.8769190884992,230.8769190884992,230.8769190884992,230.8769190884992,0.0,0.0,0.0,38.06220260312972
31,2013-12-01,-155.2271271759763,-2564.760693745807,3424.579409524532,-155.2271271759763,-155.2271271759763,555.9841130336715,555.9841130336715,555.9841130336715,555.9841130336715,555.9841130336715,555.9841130336715,0.0,0.0,0.0,400.7569858576952
32,2014-01-01,-116.38661822293663,-2861.7240137837503,2782.5721382073552,-116.38661822293663,-116.38661822293663,197.70977698694585,197.70977698694585,197.70977698694585,197.70977698694585,197.70977698694585,197.70977698694585,0.0,0.0,0.0,81.32315876400922
33,2014-02-01,-77.54610873787513,-4009.0657000880788,1868.279460443243,-77.54610873787513,-77.54610873787513,-994.2469844874903,-994.2469844874903,-994.2469844874903,-994.2469844874903,-994.2469844874903,-994.2469844874903,0.0,0.0,0.0,-1071.7930932253655
34,2014-03-01,-42.46435823523886,-3439.180409357677,2364.898932923001,-42.46435823523886,-42.46435823523886,-594.4492657922466,-594.4492657922466,-594.4492657922466,-594.4492657922466,-594.4492657922466,-594.4492657922466,0.0,0.0,0.0,-636.9136240274854
35,2014-04-01,-3.623848750177366,-3262.209915349447,2461.2620155213426,-3.623848750177366,-3.623848750177366,-356.25162115900986,-356.25162115900986,-356.25162115900986,-356.25162115900986,-356.25162115900986,-356.25162115900986,0.0,0.0,0.0,-359.87546990918725
36,2014-05-01,33.9637410740758,-2787.2430997428924,2907.4650175601105,33.9637410740758,33.9637410740758,50.649687471002956,50.649687471002956,50.649687471002956,50.649687471002956,50.649687471002956,50.649687471002956,0.0,0.0,0.0,84.61342854507876
37,2014-06-01,72.8045890518399,-2195.0476198080723,3516.2446475296942,72.8045890518399,72.8045890518399,576.1826488482702,576.1826488482702,576.1826488482702,576.1826488482702,576.1826488482702,576.1826488482702,0.0,0.0,0.0,648.9872379001101
38,2014-07-01,110.39250644967638,-1820.7342345130883,3678.389690891423,110.39250644967638,110.39250644967638,837.0679780938817,837.0679780938817,837.0679780938817,837.0679780938817,837.0679780938817,837.0679780938817,0.0,0.0,0.0,947.4604845435581
39,2014-08-01,149.2333544274407,-1260.1446254426687,4402.260578574883,149.2333544274407,149.2333544274407,1243.3688409321708,1243.3688409321708,1243.3688409321708,1243.3688409321708,1243.3688409321708,1243.3688409321708,0.0,0.0,0.0,1392.6021953596114
40,2014-09-01,188.07420240520483,-1829.6696385361047,3919.007015661722,188.07420240520483,188.07420240520483,815.8653752937395,815.8653752937395,815.8653752937395,815.8653752937395,815.8653752937395,815.8653752937395,0.0,0.0,0.0,1003.9395776989443
41,2014-10-01,225.66427509152712,-1730.986733223664,3646.2798834085775,225.66427509152712,225.66427509152712,774.4301336448956,774.4301336448956,774.4301336448956,774.4301336448956,774.4301336448956,774.4301336448956,0.0,0.0,0.0,1000.0944087364227
42,2014-11-01,264.50735020072665,-2158.242859467705,3452.104688860993,264.50735020072665,264.50735020072665,359.83795017774366,359.83795017774366,359.83795017774366,359.83795017774366,359.83795017774366,359.83795017774366,0.0,0.0,0.0,624.3453003784703
43,2014-12-01,302.09742288704877,-1784.6262909662305,3535.376978090041,302.09742288704877,302.09742288704877,703.4952388311682,703.4952388311682,703.4952388311682,703.4952388311682,703.4952388311682,703.4952388311682,0.0,0.0,0.0,1005.592661718217
44,2015-01-01,340.9405679845277,-2260.815317503383,3520.3093663127875,340.9405679845277,340.9405679845277,165.57926350162347,165.57926350162347,165.57926350162347,165.57926350162347,165.57926350162347,165.57926350162347,0.0,0.0,0.0,506.5198314861512
45,2015-02-01,379.7837130820067,-4031.938074113888,1776.3198359096564,379.7837130820067,379.7837130820067,-1460.806152008944,-1460.806152008944,-1460.806152008944,-1460.806152008944,-1460.806152008944,-1460.806152008944,0.0,0.0,0.0,-1081.0224389269374
46,2015-03-01,414.86784413779435,-2914.5224454904014,2773.5504866648216,414.86784413779435,414.86784413779435,-358.16754151603595,-358.16754151603595,-358.16754151603595,-358.16754151603595,-358.16754151603595,-358.16754151603595,0.0,0.0,0.0,56.7003026217584
47,2015-04-01,453.71098923527313,-2766.8474562912925,3179.7909855160383,453.71098923527313,453.71098923527313,-215.25377330629863,-215.25377330629863,-215.25377330629863,-215.25377330629863,-215.25377330629863,-215.25377330629863,0.0,0.0,0.0,238.4572159289745
48,2015-05-01,491.30153915768955,-2447.8874955004503,3325.339497606101,491.30153915768955,491.30153915768955,90.11311413744515,90.11311413744515,90.11311413744515,90.11311413744515,90.11311413744515,90.11311413744515,0.0,0.0,0.0,581.4146532951347
49,2015-06-01,530.1451074108535,-1726.7510255616596,4212.752559794415,530.1451074108535,530.1451074108535,579.315589434021,579.315589434021,579.315589434021,579.315589434021,579.315589434021,579.315589434021,0.0,0.0,0.0,1109.4606968448745
50,2015-07-01,567.7356573332698,-1735.1044475602766,4288.874833707608,567.7356573332698,567.7356573332698,752.5896023908429,752.5896023908429,752.5896023908429,752.5896023908429,752.5896023908429,752.5896023908429,0.0,0.0,0.0,1320.3252597241126
51,2015-08-01,614.1371683004023,-1234.3274699351628,4648.343161778433,614.1371683004023,614.1371683004023,1125.3933876582762,1125.3933876582762,1125.3933876582762,1125.3933876582762,1125.3933876582762,1125.3933876582762,0.0,0.0,0.0,1739.5305559586786
52,2015-09-01,660.5386792675353,-1601.241335526306,4349.022445066176,660.5386792675353,660.5386792675353,724.7294443661351,724.7294443661351,724.7294443661351,724.7294443661351,724.7294443661351,724.7294443661351,0.0,0.0,0.0,1385.2681236336703
53,2015-10-01,705.4433673002437,-1210.483055153917,4535.239145028561,705.4433673002437,705.4433673002437,891.1402887800518,891.1402887800518,891.1402887800518,891.1402887800518,891.1402887800518,891.1402887800518,0.0,0.0,0.0,1596.5836560802954
54,2015-11-01,751.8448782673767,-1559.5811600349168,4117.909429915569,751.8448782673767,751.8448782673767,489.28730716022346,489.28730716022346,489.28730716022346,489.28730716022346,489.28730716022346,489.28730716022346,0.0,0.0,0.0,1241.1321854276002
55,2015-12-01,818.8873321842515,-1120.429772781001,4475.050371280069,818.8873321842515,818.8873321842515,845.5201601327647,845.5201601327647,845.5201601327647,845.5201601327647,845.5201601327647,845.5201601327647,0.0,0.0,0.0,1664.407492317016
56,2016-01-01,888.1645345650223,-1867.9912723861285,3761.7082695739005,888.1645345650222,888.1645345650222,124.23130652358971,124.23130652358971,124.23130652358971,124.23130652358971,124.23130652358971,124.23130652358971,0.0,0.0,0.0,1012.3958410886121
57,2016-02-01,957.4417369457915,-4003.9320525596236,1751.9207855936263,957.4417369457915,957.4417369457915,-1924.8984840034102,-1924.8984840034102,-1924.8984840034102,-1924.8984840034102,-1924.8984840034102,-1924.8984840034102,0.0,0.0,0.0,-967.4567470576187
58,2016-03-01,1022.2494423987702,-2858.69052693783,2804.493375069249,1022.24944239877,1022.24944239877,-1042.0003685039628,-1042.0003685039628,-1042.0003685039628,-1042.0003685039628,-1042.0003685039628,-1042.0003685039628,0.0,0.0,0.0,-19.75092610519266
59,2016-04-01,1119.182875616945,-2296.662962534591,3283.504453242667,1119.182875616945,1119.182875616945,-639.0291681966731,-639.0291681966731,-639.0291681966731,-639.0291681966731,-639.0291681966731,-639.0291681966731,0.0,0.0,0.0,480.15370742027187
60,2016-05-01,1212.9894238925983,-1655.1278877551056,3898.9403150420644,1212.9894238925983,1212.9894238925983,-37.874406622659706,-37.874406622659706,-37.874406622659706,-37.874406622659706,-37.874406622659706,-37.874406622659706,0.0,0.0,0.0,1175.1150172699386
61,2016-06-01,1309.922857110775,-1101.05222603751,4567.200776509472,1309.922857110775,1309.922857110775,558.7642212501129,558.7642212501129,558.7642212501129,558.7642212501129,558.7642212501129,558.7642212501129,0.0,0.0,0.0,1868.6870783608879
62,2016-07-01,1434.9079774166453,-338.8946032987722,5120.277785090197,1434.9079774166453,1434.9079774166453,998.3506097831789,998.3506097831789,998.3506097831789,998.3506097831789,998.3506097831789,998.3506097831789,0.0,0.0,0.0,2433.2585871998244
63,2016-08-01,1564.059268399381,159.5282445231177,5756.583104827958,1564.059268399381,1564.059268399381,1480.4863695386716,1480.4863695386716,1480.4863695386716,1480.4863695386716,1480.4863695386716,1480.4863695386716,0.0,0.0,0.0,3044.5456379380526
64,2016-09-01,1693.2105593821148,-261.27179375585234,5549.647649422196,1693.2105593821148,1693.2105593821148,1012.1336989102703,1012.1336989102703,1012.1336989102703,1012.1336989102703,1012.1336989102703,1012.1336989102703,0.0,0.0,0.0,2705.344258292385
65,2016-10-01,1818.195679687984,-528.2552591716284,5126.156562987426,1818.195679687984,1818.195679687984,554.2695976057236,554.2695976057236,554.2695976057236,554.2695976057236,554.2695976057236,554.2695976057236,0.0,0.0,0.0,2372.4652772937075
66,2016-11-01,1978.7376675679352,-755.8280974508971,5040.5806684070585,1978.7376675679352,1978.7376675679352,102.64481857958778,102.64481857958778,102.64481857958778,102.64481857958778,102.64481857958778,102.64481857958778,0.0,0.0,0.0,2081.382486147523
67,2016-12-01,2134.1008816453077,-58.615268448071966,5455.100141312198,2134.1008816453077,2134.1008816453077,403.17783366481063,403.17783366481063,403.17783366481063,403.17783366481063,403.17783366481063,403.17783366481063,0.0,0.0,0.0,2537.2787153101185
68,2017-01-01,2294.642869525259,-325.20336287053055,5448.447948109895,2294.642869525259,2294.642869525259,220.47588885086512,220.47588885086512,220.47588885086512,220.47588885086512,220.47588885086512,220.47588885086512,0.0,0.0,0.0,2515.118758376124
69,2017-02-01,2479.9825756351584,-1091.337727240777,5035.227078919408,2479.9825756351584,2479.9825756351584,-525.7673089195777,-525.7673089195777,-525.7673089195777,-525.7673089195777,-525.7673089195777,-525.7673089195777,0.0,0.0,0.0,1954.2152667155806
70,2017-03-01,2647.3861811537745,-943.4416927296039,4639.800319118681,2647.3861811537745,2647.3861811537745,-822.4675393502109,-822.4675393502109,-822.4675393502109,-822.4675393502109,-822.4675393502109,-822.4675393502109,0.0,0.0,0.0,1824.9186418035636
71,2017-04-01,2832.725887263674,-427.10444597235596,5221.107993332258,2832.725887263674,2832.725887263674,-497.5955764095576,-497.5955764095576,-497.5955764095576,-497.5955764095576,-497.5955764095576,-497.5955764095576,0.0,0.0,0.0,2335.1303108541165
72,2017-05-01,3012.086893176474,128.61450299256248,5825.293838963535,3012.0868931764735,3012.0868931764735,7.949430385198797,7.949430385198797,7.949430385198797,7.949430385198797,7.949430385198797,7.949430385198797,0.0,0.0,0.0,3020.036323561673
73,2017-06-01,3208.3787609113488,963.0441242626231,6661.3404527553885,3208.3787609113488,3208.3787609113488,569.3287486170017,569.3287486170017,569.3287486170017,569.3287486170017,569.3287486170017,569.3287486170017,0.0,0.0,0.0,3777.7075095283503
74,2017-07-01,3398.338632912838,1498.2422518854648,7302.5537977532385,3398.338632912838,3398.338632912838,919.0353519602962,919.0353519602962,919.0353519602962,919.0353519602962,919.0353519602962,919.0353519602962,0.0,0.0,0.0,4317.373984873134
75,2017-08-01,3594.630500647714,2037.0488464871512,7773.377065243318,3594.630500647714,3594.630500647714,1361.8003680964046,1361.8003680964046,1361.8003680964046,1361.8003680964046,1361.8003680964046,1361.8003680964046,0.0,0.0,0.0,4956.430868744119
76,2017-09-01,3790.922368382589,1940.4606384164172,7519.083822424699,3790.9223683825894,3790.9223683825894,911.7100638337778,911.7100638337778,911.7100638337778,911.7100638337778,911.7100638337778,911.7100638337778,0.0,0.0,0.0,4702.632432216366
77,2017-10-01,3980.8824120528384,1703.8579804969936,7196.757953599929,3980.8824120528384,3980.8824120528384,662.0876387873425,662.0876387873425,662.0876387873425,662.0876387873425,662.0876387873425,662.0876387873425,0.0,0.0,0.0,4642.970050840181
78,2017-11-01,4177.174457178763,1477.7298361797089,7370.978247117745,4177.174457178763,4177.174457178763,230.8769190873414,230.8769190873414,230.8769190873414,230.8769190873414,230.8769190873414,230.8769190873414,0.0,0.0,0.0,4408.051376266105
79,2017-12-01,4367.134500849011,2148.14050821618,7758.127892435734,4367.134500849011,4367.134500849011,555.9841130339674,555.9841130339674,555.9841130339674,555.9841130339674,555.9841130339674,555.9841130339674,0.0,0.0,0.0,4923.118613882978
80,2018-01-01,4563.42744207723,2011.6143069950517,7610.338861135592,4563.42744207723,4563.42744207723,197.70977698716615,197.70977698716615,197.70977698716615,197.70977698716615,197.70977698716615,197.70977698716615,0.0,0.0,0.0,4761.137219064396
81,2018-02-01,4759.720383305448,891.816527628672,6668.753332560234,4759.720383305448,4759.720383305448,-994.2469844869166,-994.2469844869166,-994.2469844869166,-994.2469844869166,-994.2469844869166,-994.2469844869166,0.0,0.0,0.0,3765.4733988185317
82,2018-03-01,4937.017233447064,1538.3031558765492,7162.8557199380875,4937.017233447064,4937.017233447064,-594.449265792414,-594.449265792414,-594.449265792414,-594.449265792414,-594.449265792414,-594.449265792414,0.0,0.0,0.0,4342.567967654651
83,2018-04-01,5133.310174675283,1981.302969557658,7580.846196022772,5133.310174675283,5133.310174675283,-356.25162115878817,-356.25162115878817,-356.25162115878817,-356.25162115878817,-356.25162115878817,-356.25162115878817,0.0,0.0,0.0,4777.058553516495
84,2018-05-01,5323.2710876279725,2758.760437784288,8147.49149229222,5323.2710876279725,5323.2710876279725,50.64968747170623,50.64968747170623,50.64968747170623,50.64968747170623,50.64968747170623,50.64968747170623,0.0,0.0,0.0,5373.920775099678
85,2018-06-01,5519.564031012422,3301.2850092846525,8987.660337706278,5519.564031012422,5519.564031012422,576.1826488488239,576.1826488488239,576.1826488488239,576.1826488488239,576.1826488488239,576.1826488488239,0.0,0.0,0.0,6095.746679861246
86,2018-07-01,5709.524943965113,3730.8289733659803,9188.336200636208,5709.524943965114,5709.524943965114,837.0679780938248,837.0679780938248,837.0679780938248,837.0679780938248,837.0679780938248,837.0679780938248,0.0,0.0,0.0,6546.592922058938
87,2018-08-01,5905.817888937419,4344.237822960358,9953.610623433653,5905.817888937419,5905.817888937419,1243.368840931839,1243.368840931839,1243.368840931839,1243.368840931839,1243.368840931839,1243.368840931839,0.0,0.0,0.0,7149.186729869259
88,2018-09-01,6102.11083390973,4189.8766119058155,9829.590848775768,6102.11083390973,6102.11083390973,815.8653752937842,815.8653752937842,815.8653752937842,815.8653752937842,815.8653752937842,815.8653752937842,0.0,0.0,0.0,6917.976209203514
89,2018-10-01,6292.071748399062,4288.109530838882,9926.71968445604,6292.071748399062,6292.071748399062,774.430133645486,774.430133645486,774.430133645486,774.430133645486,774.430133645486,774.430133645486,0.0,0.0,0.0,7066.5018820445475
90,2018-11-01,6488.364693371372,4065.593560917101,9684.486434640748,6488.364693371372,6488.364693371372,359.83795017711077,359.83795017711077,359.83795017711077,359.83795017711077,359.83795017711077,359.83795017711077,0.0,0.0,0.0,6848.202643548482
91,2018-12-01,6678.325608746142,4679.245435457676,10292.877186459073,6678.325608746142,6678.325608746142,703.495238832217,703.495238832217,703.495238832217,703.495238832217,703.495238832217,703.495238832217,0.0,0.0,0.0,7381.8208475783595
92,2019-01-01,6874.618554633405,4441.800456671837,9913.704508734223,6874.618554633405,6874.618554633405,165.5792635006366,165.5792635006366,165.5792635006366,165.5792635006366,165.5792635006366,165.5792635006366,0.0,0.0,0.0,7040.197818134042
93,2019-02-01,7070.911500520669,2790.4409484398184,8448.579281057975,7070.911500520669,7070.911500520669,-1460.8061520096956,-1460.8061520096956,-1460.8061520096956,-1460.8061520096956,-1460.8061520096956,-1460.8061520096956,0.0,0.0,0.0,5610.105348510973
94,2019-03-01,7248.208354870453,4137.091819808666,10093.346484430938,7248.208354870453,7248.208354870453,-358.16754151677975,-358.16754151677975,-358.16754151677975,-358.16754151677975,-358.16754151677975,-358.16754151677975,0.0,0.0,0.0,6890.040813353673
95,2019-04-01,7444.501300757716,4437.643592718454,10204.556230928089,7444.501300757716,7444.501300757716,-215.25377330669102,-215.25377330669102,-215.25377330669102,-215.25377330669102,-215.25377330669102,-215.25377330669102,0.0,0.0,0.0,7229.247527451025
96,2019-05-01,7634.462216132487,4774.436997508317,10569.853998542427,7634.462216132487,7634.462216132487,90.11311413746745,90.11311413746745,90.11311413746745,90.11311413746745,90.11311413746745,90.11311413746745,0.0,0.0,0.0,7724.575330269954
