,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2010-03-01,-3092.276996679227,-8290.280590897346,2679.8462266740635,-3092.276996679227,-3092.276996679227,46.75780760667734,46.75780760667734,46.75780760667734,46.75780760667734,46.75780760667734,46.75780760667734,0.0,0.0,0.0,-3045.5191890725496
1,2010-04-01,-2967.361114849788,-8841.359213035636,1966.4112173386563,-2967.361114849788,-2967.361114849788,-192.42176495267245,-192.42176495267245,-192.42176495267245,-192.42176495267245,-192.42176495267245,-192.42176495267245,0.0,0.0,0.0,-3159.7828798024602
2,2010-05-01,-2846.474777595492,-8252.69015316726,3003.9848266500862,-2846.474777595492,-2846.474777595492,293.39857000626614,293.39857000626614,293.39857000626614,293.39857000626614,293.39857000626614,293.39857000626614,0.0,0.0,0.0,-2553.0762075892258
3,2010-06-01,-2721.558895766053,-8166.082257469657,2333.272984815014,-2721.558895766053,-2721.558895766053,198.66036488638355,198.66036488638355,198.66036488638355,198.66036488638355,198.66036488638355,198.66036488638355,0.0,0.0,0.0,-2522.8985308796696
4,2010-07-01,-2600.672558511757,-8150.164879200101,2163.1485054824066,-2600.672558511757,-2600.672558511757,-261.995682174044,-261.995682174044,-261.995682174044,-261.995682174044,-261.995682174044,-261.995682174044,0.0,0.0,0.0,-2862.668240685801
5,2010-09-01,-2350.840791343432,-7591.337137391049,3369.400991859721,-2350.840791343432,-2350.840791343432,400.08280965221485,400.08280965221485,400.08280965221485,400.08280965221485,400.08280965221485,400.08280965221485,0.0,0.0,0.0,-1950.7579816912173
6,2010-10-01,-2229.954452391017,-6593.671447841391,4256.245257271506,-2229.954452391017,-2229.954452391017,1063.783227133962,1063.783227133962,1063.783227133962,1063.783227133962,1063.783227133962,1063.783227133962,0.0,0.0,0.0,-1166.171225257055
7,2010-11-01,-2105.038568806855,-7030.249702101786,4183.056523348523,-2105.038568806855,-2105.038568806855,489.2290115700282,489.2290115700282,489.2290115700282,489.2290115700282,489.2290115700282,489.2290115700282,0.0,0.0,0.0,-1615.8095572368268
8,2010-12-01,-1984.1522298544396,-6917.807520496417,3964.60369892021,-1984.1522298544396,-1984.1522298544396,163.2317107493705,163.2317107493705,163.2317107493705,163.2317107493705,163.2317107493705,163.2317107493705,0.0,0.0,0.0,-1820.9205191050692
9,2011-01-01,-1859.2363468459682,-7263.177468243157,3219.967270476153,-1859.2363468459682,-1859.2363468459682,-23.566949701277274,-23.566949701277274,-23.566949701277274,-23.566949701277274,-23.566949701277274,-23.566949701277274,0.0,0.0,0.0,-1882.8032965472455
10,2011-02-01,-1734.3204638374975,-7202.668842875095,3762.823559694646,-1734.3204638374975,-1734.3204638374975,-87.44181241244603,-87.44181241244603,-87.44181241244603,-87.44181241244603,-87.44181241244603,-87.44181241244603,0.0,0.0,0.0,-1821.7622762499436
11,2011-03-01,-1621.4932146685558,-6825.265306581801,4093.090035663337,-1621.4932146685558,-1621.4932146685558,28.72022325518941,28.72022325518941,28.72022325518941,28.72022325518941,28.72022325518941,28.72022325518941,0.0,0.0,0.0,-1592.7729914133663
12,2011-04-01,-1496.5773316600848,-6670.682137479118,3763.470397821219,-1496.5773316600848,-1496.5773316600848,-93.47797578214704,-93.47797578214704,-93.47797578214704,-93.47797578214704,-93.47797578214704,-93.47797578214704,0.0,0.0,0.0,-1590.0553074422319
13,2011-05-01,-1375.6909934743067,-6858.6395355218165,4308.18278361285,-1375.6909934743067,-1375.6909934743067,339.53451456153823,339.53451456153823,339.53451456153823,339.53451456153823,339.53451456153823,339.53451456153823,0.0,0.0,0.0,-1036.1564789127683
14,2011-06-01,-1250.7751106823364,-6413.174257172941,4227.432953568163,-1250.7751106823364,-1250.7751106823364,225.88729433333236,225.88729433333236,225.88729433333236,225.88729433333236,225.88729433333236,225.88729433333236,0.0,0.0,0.0,-1024.887816349004
15,2011-07-01,-1129.8887724965584,-7029.305778445032,3753.360979932308,-1129.8887724965584,-1129.8887724965584,-369.9859374914094,-369.9859374914094,-369.9859374914094,-369.9859374914094,-369.9859374914094,-369.9859374914094,0.0,0.0,0.0,-1499.874709987968
16,2011-08-01,-1004.9728897045879,-8395.96211345602,2605.024933967817,-1004.9728897045879,-1004.9728897045879,-1900.5189821823453,-1900.5189821823453,-1900.5189821823453,-1900.5189821823453,-1900.5189821823453,-1900.5189821823453,0.0,0.0,0.0,-2905.491871886933
17,2011-09-01,-880.0570069913337,-5623.994733244239,4955.851409555964,-880.0570069913337,-880.0570069913337,433.672833839363,433.672833839363,433.672833839363,433.672833839363,433.672833839363,433.672833839363,0.0,0.0,0.0,-446.38417315197063
18,2011-10-01,-759.1706688817336,-5115.249509984738,5548.848858563916,-759.1706688817335,-759.1706688817335,1253.2561938572405,1253.2561938572405,1253.2561938572405,1253.2561938572405,1253.2561938572405,1253.2561938572405,0.0,0.0,0.0,494.0855249755069
19,2011-11-01,-634.2547861684798,-5257.560222599476,5463.248363501273,-634.2547861684798,-634.2547861684798,436.83537577593864,436.83537577593864,436.83537577593864,436.83537577593864,436.83537577593864,436.83537577593864,0.0,0.0,0.0,-197.41941039254112
20,2011-12-01,-513.3684480588794,-5810.7925855333,5052.512415410418,-513.3684480588794,-513.3684480588794,149.08318291444348,149.08318291444348,149.08318291444348,149.08318291444348,149.08318291444348,149.08318291444348,0.0,0.0,0.0,-364.2852651444359
21,2012-01-01,-388.45256559200413,-6023.987563500212,4679.757183436543,-388.45256559200413,-388.45256559200413,-54.73457854827002,-54.73457854827002,-54.73457854827002,-54.73457854827002,-54.73457854827002,-54.73457854827002,0.0,0.0,0.0,-443.18714414027414
22,2012-02-01,-263.53668312512895,-5612.860690985103,4897.230481645809,-263.53668312512895,-263.53668312512895,-140.43362532580792,-140.43362532580792,-140.43362532580792,-140.43362532580792,-140.43362532580792,-140.43362532580792,0.0,0.0,0.0,-403.97030845093684
23,2012-03-01,-146.6798898496644,-5321.012605877075,5055.012954270478,-146.6798898496644,-146.6798898496644,90.59455253898004,90.59455253898004,90.59455253898004,90.59455253898004,90.59455253898004,90.59455253898004,0.0,0.0,0.0,-56.08533731068435
24,2012-04-01,-21.7640073827892,-5805.9582541430045,4834.038541557101,-21.7640073827892,-21.7640073827892,-385.8559908407072,-385.8559908407072,-385.8559908407072,-385.8559908407072,-385.8559908407072,-385.8559908407072,0.0,0.0,0.0,-407.6199982234964
25,2012-05-01,99.1223323213141,-5045.970949889926,5606.818886980269,99.1223323213141,99.1223323213141,195.53626636031566,195.53626636031566,195.53626636031566,195.53626636031566,195.53626636031566,195.53626636031566,0.0,0.0,0.0,294.65859868162977
26,2012-06-01,224.03821668222128,-4840.451843335023,5933.54953200134,224.03821668222128,224.03821668222128,134.07199556090183,134.07199556090183,134.07199556090183,134.07199556090183,134.07199556090183,134.07199556090183,0.0,0.0,0.0,358.1102122431231
27,2012-07-01,344.9245563863249,-5301.943101701851,5736.101803749971,344.924556386325,344.924556386325,-52.14897950874079,-52.14897950874079,-52.14897950874079,-52.14897950874079,-52.14897950874079,-52.14897950874079,0.0,0.0,0.0,292.7755768775841
28,2012-08-01,469.840440747231,-6485.859042104272,4038.2137258072994,469.840440747231,469.840440747231,-1521.868455426867,-1521.868455426867,-1521.868455426867,-1521.868455426867,-1521.868455426867,-1521.868455426867,0.0,0.0,0.0,-1052.028014679636
29,2012-09-01,594.7563328229415,-4453.151569531682,6106.852984154209,594.7563328229415,594.7563328229415,346.97659328681016,346.97659328681016,346.97659328681016,346.97659328681016,346.97659328681016,346.97659328681016,0.0,0.0,0.0,941.7329261097517
30,2012-10-01,715.6426799929839,-3916.272396975419,6799.706274751354,715.6426799929839,715.6426799929839,681.6224193969118,681.6224193969118,681.6224193969118,681.6224193969118,681.6224193969118,681.6224193969118,0.0,0.0,0.0,1397.2650993898956
31,2012-11-01,840.5585720686944,-3424.7089188613713,6710.146035697443,840.5585720686944,840.5585720686944,584.1841261564076,584.1841261564076,584.1841261564076,584.1841261564076,584.1841261564076,584.1841261564076,0.0,0.0,0.0,1424.742698225102
32,2012-12-01,961.4449192387368,-4087.4995826162844,6364.6781988530265,961.4449192387368,961.4449192387368,188.5490502535421,188.5490502535421,188.5490502535421,188.5490502535421,188.5490502535421,188.5490502535421,0.0,0.0,0.0,1149.993969492279
33,2013-01-01,1086.366745536196,-4109.852799751288,6384.76788979246,1086.366745536196,1086.366745536196,36.66216399767191,36.66216399767191,36.66216399767191,36.66216399767191,36.66216399767191,36.66216399767191,0.0,0.0,0.0,1123.028909533868
34,2013-02-01,1211.288571833656,-3788.155999414925,6343.175247923965,1211.288571833656,1211.288571833656,20.083776312157053,20.083776312157053,20.083776312157053,20.083776312157053,20.083776312157053,20.083776312157053,0.0,0.0,0.0,1231.372348145813
35,2013-03-01,1324.121189134587,-3952.9728442222104,6740.7533271075245,1324.121189134587,1324.121189134587,67.38350304143047,67.38350304143047,67.38350304143047,67.38350304143047,67.38350304143047,67.38350304143047,0.0,0.0,0.0,1391.5046921760174
36,2013-04-01,1449.043015432048,-4298.888311627112,6445.3660712785395,1449.043015432048,1449.043015432048,-289.92498842273085,-289.92498842273085,-289.92498842273085,-289.92498842273085,-289.92498842273085,-289.92498842273085,0.0,0.0,0.0,1159.118027009317
37,2013-05-01,1569.9351081446594,-3886.3054712125,7176.427001963445,1569.9351081446594,1569.9351081446594,245.36669713604684,245.36669713604684,245.36669713604684,245.36669713604684,245.36669713604684,245.36669713604684,0.0,0.0,0.0,1815.3018052807063
38,2013-06-01,1694.8569372810246,-3391.7280793053783,7086.569533916524,1694.8569372810246,1694.8569372810246,168.04933483432487,168.04933483432487,168.04933483432487,168.04933483432487,168.04933483432487,168.04933483432487,0.0,0.0,0.0,1862.9062721153493
39,2013-07-01,1815.7490299936367,-3497.2422295501497,7044.217452964802,1815.7490299936367,1815.7490299936367,-155.99199385576745,-155.99199385576745,-155.99199385576745,-155.99199385576745,-155.99199385576745,-155.99199385576745,0.0,0.0,0.0,1659.7570361378691
40,2013-08-01,1940.6708591300028,-4996.833466992532,6105.097256971301,1940.6708591300028,1940.6708591300028,-1651.6011727212624,-1651.6011727212624,-1651.6011727212624,-1651.6011727212624,-1651.6011727212624,-1651.6011727212624,0.0,0.0,0.0,289.0696864087404
41,2013-09-01,2069.866743718961,-3266.338606870115,7615.528136154748,2069.866743718961,2069.866743718961,371.16295099621067,371.16295099621067,371.16295099621067,371.16295099621067,371.16295099621067,371.16295099621067,0.0,0.0,0.0,2441.029694715172
42,2013-10-01,2194.8950191276317,-2110.5660711090663,8499.100539637575,2194.8950191276317,2194.8950191276317,873.162526554098,873.162526554098,873.162526554098,873.162526554098,873.162526554098,873.162526554098,0.0,0.0,0.0,3068.0575456817296
43,2013-11-01,2324.0909037165898,-2607.6811613947316,8120.445632483958,2324.0909037165898,2324.0909037165898,538.3464030595625,538.3464030595625,538.3464030595625,538.3464030595625,538.3464030595625,538.3464030595625,0.0,0.0,0.0,2862.437306776152
44,2013-12-01,2449.11917912526,-2852.98142823186,7951.040668051367,2449.11917912526,2449.11917912526,176.40156274444576,176.40156274444576,176.40156274444576,176.40156274444576,176.40156274444576,176.40156274444576,0.0,0.0,0.0,2625.5207418697055
45,2014-01-01,2585.6661084575117,-2626.5859967725683,7677.74634015031,2585.6661084575117,2585.6661084575117,6.92063213375381,6.92063213375381,6.92063213375381,6.92063213375381,6.92063213375381,6.92063213375381,0.0,0.0,0.0,2592.5867405912654
46,2014-02-01,2722.213037789762,-2687.7166329898646,7914.892332387453,2722.213037789762,2722.213037789762,-33.90666816086559,-33.90666816086559,-33.90666816086559,-33.90666816086559,-33.90666816086559,-33.90666816086559,0.0,0.0,0.0,2688.3063696288964
47,2014-03-01,2845.5457481543767,-2009.4878513236674,8120.748853636663,2845.5457481543767,2845.5457481543767,46.757807606637776,46.757807606637776,46.757807606637776,46.757807606637776,46.757807606637776,46.757807606637776,0.0,0.0,0.0,2892.3035557610146
48,2014-04-01,2982.0926774866275,-2009.4616332357687,8432.073104447783,2982.0926774866275,2982.0926774866275,-192.4217649529015,-192.4217649529015,-192.4217649529015,-192.4217649529015,-192.4217649529015,-192.4217649529015,0.0,0.0,0.0,2789.670912533726
49,2014-05-01,3121.5256327763154,-1738.7673544298632,8958.775605742174,3121.5256327763154,3121.5256327763154,293.3985700059386,293.3985700059386,293.3985700059386,293.3985700059386,293.3985700059386,293.3985700059386,0.0,0.0,0.0,3414.924202782254
50,2014-06-01,3265.606353242326,-1931.6422027375775,8911.375981535524,3265.606353242326,3265.606353242326,198.66036488631366,198.66036488631366,198.66036488631366,198.66036488631366,198.66036488631366,198.66036488631366,0.0,0.0,0.0,3464.2667181286397
51,2014-07-01,3405.039308532014,-2184.0852782174643,8668.922451247732,3405.039308532014,3405.039308532014,-261.995682174198,-261.995682174198,-261.995682174198,-261.995682174198,-261.995682174198,-261.995682174198,0.0,0.0,0.0,3143.043626357816
52,2014-08-01,3549.120028998025,-3584.867515980457,6990.662722942987,3549.120028998025,3549.120028998025,-1777.8736313998138,-1777.8736313998138,-1777.8736313998138,-1777.8736313998138,-1777.8736313998138,-1777.8736313998138,0.0,0.0,0.0,1771.2463975982114
53,2014-09-01,3698.148208404879,-1139.3856887965317,9212.293788247345,3698.148208404879,3698.148208404879,400.0828096520562,400.0828096520562,400.0828096520562,400.0828096520562,400.0828096520562,400.0828096520562,0.0,0.0,0.0,4098.231018056935
54,2014-10-01,3842.369027185706,-460.7990830677059,10402.447919820324,3842.369027185706,3842.369027185706,1063.7832271339112,1063.7832271339112,1063.7832271339112,1063.7832271339112,1063.7832271339112,1063.7832271339112,0.0,0.0,0.0,4906.152254319617
55,2014-11-01,3991.3972065925577,-943.4942260353582,9738.949493211068,3991.3972065925577,3991.3972065925577,489.22901157020584,489.22901157020584,489.22901157020584,489.22901157020584,489.22901157020584,489.22901157020584,0.0,0.0,0.0,4480.6262181627635
56,2014-12-01,4135.618025373385,-1125.245382310302,9844.729081297291,4135.618025373385,4135.618025373385,163.23171074944602,163.23171074944602,163.23171074944602,163.23171074944602,163.23171074944602,163.23171074944602,0.0,0.0,0.0,4298.849736122831
57,2015-01-01,4284.779069853799,-1522.7720730995939,9464.611413153594,4284.779069853799,4284.779069853799,-23.56694970113741,-23.56694970113741,-23.56694970113741,-23.56694970113741,-23.56694970113741,-23.56694970113741,0.0,0.0,0.0,4261.212120152662
58,2015-02-01,4433.940114334212,-905.652852472954,9283.324563758913,4433.940114334212,4433.940114334212,-87.44181241233413,-87.44181241233413,-87.44181241233413,-87.44181241233413,-87.44181241233413,-87.44181241233413,0.0,0.0,0.0,4346.498301921878
59,2015-03-01,4568.666219026199,-843.252125104541,9942.548548653205,4568.666219026199,4568.666219026199,28.72022325468136,28.72022325468136,28.72022325468136,28.72022325468136,28.72022325468136,28.72022325468136,0.0,0.0,0.0,4597.38644228088
60,2015-04-01,4717.827263506613,-426.3430238166508,10019.169447031829,4717.827263506613,4717.827263506613,-93.47797578148683,-93.47797578148683,-93.47797578148683,-93.47797578148683,-93.47797578148683,-93.47797578148683,0.0,0.0,0.0,4624.3492877251265
61,2015-05-01,4862.183450534952,-360.6998197033877,10371.046856706507,4862.183450534952,4862.183450534952,339.5345145610675,339.5345145610675,339.5345145610675,339.5345145610675,339.5345145610675,339.5345145610675,0.0,0.0,0.0,5201.717965096019
62,2015-06-01,5011.351510464235,-183.298420160359,10749.370344918665,5011.351510464235,5011.351510464235,225.88729433371986,225.88729433371986,225.88729433371986,225.88729433371986,225.88729433371986,225.88729433371986,0.0,0.0,0.0,5237.238804797955
63,2015-07-01,5155.707697492574,-654.9247562426763,10187.284800654825,5155.707697492574,5155.707697492574,-369.98593749111564,-369.98593749111564,-369.98593749111564,-369.98593749111564,-369.98593749111564,-369.98593749111564,0.0,0.0,0.0,4785.721760001458
64,2015-08-01,5304.875757421858,-1504.2602671546977,8983.340604758561,5304.875757421858,5304.875757421858,-1900.5189821820177,-1900.5189821820177,-1900.5189821820177,-1900.5189821820177,-1900.5189821820177,-1900.5189821820177,0.0,0.0,0.0,3404.3567752398403
65,2015-09-01,5454.250778013036,269.64118214101677,11613.224292155865,5454.250778013036,5454.250778013036,433.67283383956783,433.67283383956783,433.67283383956783,433.67283383956783,433.67283383956783,433.67283383956783,0.0,0.0,0.0,5887.923611852604
66,2015-10-01,5598.807249552887,1303.0857663776035,11803.65848960822,5598.807249552887,5598.807249552887,1253.2561938568485,1253.2561938568485,1253.2561938568485,1253.2561938568485,1253.2561938568485,1253.2561938568485,0.0,0.0,0.0,6852.063443409736
67,2015-11-01,5748.182270144067,588.6846292523113,11571.307243454816,5748.182270144067,5748.182270144067,436.8353757763176,436.8353757763176,436.8353757763176,436.8353757763176,436.8353757763176,436.8353757763176,0.0,0.0,0.0,6185.017645920385
68,2015-12-01,5892.738741683918,597.3586081969387,11513.3379809899,5892.738741683918,5892.738741683918,149.08318291430834,149.08318291430834,149.08318291430834,149.08318291430834,149.08318291430834,149.08318291430834,0.0,0.0,0.0,6041.821924598226
69,2016-01-01,6042.118113277813,737.9310780918829,11201.372390963688,6042.118113277813,6042.118113277813,-54.73457854813504,-54.73457854813504,-54.73457854813504,-54.73457854813504,-54.73457854813504,-54.73457854813504,0.0,0.0,0.0,5987.383534729678
70,2016-02-01,6191.497484871711,896.5789726280456,11258.608399245784,6191.497484871711,6191.497484871711,-140.43362532608052,-140.43362532608052,-140.43362532608052,-140.43362532608052,-140.43362532608052,-140.43362532608052,0.0,0.0,0.0,6051.06385954563
71,2016-03-01,6331.239477653097,1194.3643102129595,12020.664135220828,6331.239477653097,6331.239477653097,90.59455253895027,90.59455253895027,90.59455253895027,90.59455253895027,90.59455253895027,90.59455253895027,0.0,0.0,0.0,6421.834030192048
72,2016-04-01,6480.618849246993,505.92269936136285,11636.487888398644,6480.618849246993,6480.618849246993,-385.85599084062136,-385.85599084062136,-385.85599084062136,-385.85599084062136,-385.85599084062136,-385.85599084062136,0.0,0.0,0.0,6094.762858406371
73,2016-05-01,6625.198181632199,1688.157703524857,12250.085040442413,6625.198181632199,6625.198181632199,195.53626636025075,195.53626636025075,195.53626636025075,195.53626636025075,195.53626636025075,195.53626636025075,0.0,0.0,0.0,6820.7344479924495
74,2016-06-01,6774.596825096912,1840.5703605486797,12170.368353820708,6774.596825096912,6774.596825096912,134.07199556120352,134.07199556120352,134.07199556120352,134.07199556120352,134.07199556120352,134.07199556120352,0.0,0.0,0.0,6908.668820658116
