,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2010-08-01,-2221.9505711096235,-2993.721673125546,2953.5367807461416,-2221.9505711096235,-2221.9505711096235,2224.7735411735457,2224.7735411735457,2224.7735411735457,2224.7735411735457,2224.7735411735457,2224.7735411735457,0.0,0.0,0.0,2.8229700639221846
1,2010-09-01,-2134.608338539024,-4175.588064007721,1783.3982768310348,-2134.608338539024,-2134.608338539024,973.8965263518738,973.8965263518738,973.8965263518738,973.8965263518738,973.8965263518738,973.8965263518738,0.0,0.0,0.0,-1160.71181218715
2,2011-01-01,-1790.874391003114,-5594.63175078695,620.1289521185103,-1790.874391003114,-1790.874391003114,-689.2038507987575,-689.2038507987575,-689.2038507987575,-689.2038507987575,-689.2038507987575,-689.2038507987575,0.0,0.0,0.0,-2480.0782418018716
3,2011-04-01,-1537.3001674110492,-5138.904475510019,1048.3889817576737,-1537.3001674110492,-1537.3001674110492,-447.3272427554174,-447.3272427554174,-447.3272427554174,-447.3272427554174,-447.3272427554174,-447.3272427554174,0.0,0.0,0.0,-1984.6274101664667
4,2011-05-01,-1452.7754262136948,-4287.781999057738,1624.4781920597463,-1452.7754262136948,-1452.7754262136948,131.01629293694296,131.01629293694296,131.01629293694296,131.01629293694296,131.01629293694296,131.01629293694296,0.0,0.0,0.0,-1321.7591332767518
5,2011-06-01,-1365.4331921907544,-4243.114271981229,1949.200957905948,-1365.4331921907544,-1365.4331921907544,193.70188374710128,193.70188374710128,193.70188374710128,193.70188374710128,193.70188374710128,193.70188374710128,0.0,0.0,0.0,-1171.7313084436532
6,2011-07-01,-1280.908449587909,-3693.8539962968957,2321.65563130888,-1280.908449587909,-1280.908449587909,557.816307340888,557.816307340888,557.816307340888,557.816307340888,557.816307340888,557.816307340888,0.0,0.0,0.0,-723.092142247021
7,2011-08-01,-1193.5662155649684,-2028.7845159781405,4303.261253497348,-1193.5662155649684,-1193.5662155649684,2206.51809365327,2206.51809365327,2206.51809365327,2206.51809365327,2206.51809365327,2206.51809365327,0.0,0.0,0.0,1012.9518780883018
8,2011-09-01,-1106.2239810772985,-3406.7139172602747,2751.650157496656,-1106.2239810772985,-1106.2239810772985,937.0266772437235,937.0266772437235,937.0266772437235,937.0266772437235,937.0266772437235,937.0266772437235,0.0,0.0,0.0,-169.197303833575
9,2011-10-01,-1021.699238024715,-4212.449680441556,1718.0444539127298,-1021.699238024715,-1021.699238024715,-262.6298240512324,-262.6298240512324,-262.6298240512324,-262.6298240512324,-262.6298240512324,-262.6298240512324,0.0,0.0,0.0,-1284.3290620759474
10,2011-11-01,-934.357003537045,-4321.462596132773,1789.1257246389591,-934.357003537045,-934.357003537045,-405.95593215061166,-405.95593215061166,-405.95593215061166,-405.95593215061166,-405.95593215061166,-405.95593215061166,0.0,0.0,0.0,-1340.3129356876566
11,2011-12-01,-849.8322604844611,-4387.666461656037,1969.283250120169,-849.8322604844611,-849.8322604844611,-262.6431479199057,-262.6431479199057,-262.6431479199057,-262.6431479199057,-262.6431479199057,-262.6431479199057,0.0,0.0,0.0,-1112.4754084043668
12,2012-01-01,-762.4900256160112,-4575.674069085197,1620.0938780942552,-762.4900256160112,-762.4900256160112,-673.6279332570438,-673.6279332570438,-673.6279332570438,-673.6279332570438,-673.6279332570438,-673.6279332570438,0.0,0.0,0.0,-1436.117958873055
13,2012-02-01,-675.147790747561,-4485.778596357988,1253.623210103178,-675.147790747561,-675.147790747561,-955.5370677743826,-955.5370677743826,-955.5370677743826,-955.5370677743826,-955.5370677743826,-955.5370677743826,0.0,0.0,0.0,-1630.6848585219436
14,2012-03-01,-593.4405387738494,-4685.326794136748,1243.18236579749,-593.4405387738494,-593.4405387738494,-846.149158663922,-846.149158663922,-846.149158663922,-846.149158663922,-846.149158663922,-846.149158663922,0.0,0.0,0.0,-1439.5896974377715
15,2012-04-01,-506.098303905399,-4052.047247314949,2081.7417752362985,-506.098303905399,-506.098303905399,-574.5895668395733,-574.5895668395733,-574.5895668395733,-574.5895668395733,-574.5895668395733,-574.5895668395733,0.0,0.0,0.0,-1080.6878707449723
16,2012-05-01,-421.5735604826757,-3341.910619955538,2800.5872822572824,-421.5735604826757,-421.5735604826757,58.658141492578046,58.658141492578046,58.658141492578046,58.658141492578046,58.658141492578046,58.658141492578046,0.0,0.0,0.0,-362.91541899009763
17,2012-06-01,-334.23132561252817,-3157.499239324766,2731.6795285407516,-334.23132561252817,-334.23132561252817,147.92707636393914,147.92707636393914,147.92707636393914,147.92707636393914,147.92707636393914,147.92707636393914,0.0,0.0,0.0,-186.30424924858903
18,2012-07-01,-249.7065821898046,-2826.467624387121,3485.5829935999045,-249.7065821898046,-249.7065821898046,623.4727810752845,623.4727810752845,623.4727810752845,623.4727810752845,623.4727810752845,623.4727810752845,0.0,0.0,0.0,373.76619888547987
19,2012-08-01,-162.3643473196573,-1007.3230736609098,4885.637764402334,-162.3643473196573,-162.3643473196573,2258.6921087098085,2258.6921087098085,2258.6921087098085,2258.6921087098085,2258.6921087098085,2258.6921087098085,0.0,0.0,0.0,2096.3277613901514
20,2012-09-01,-75.02211277953631,-2105.610751447393,3982.8141832940955,-75.02211277953631,-75.02211277953631,1050.2448065826763,1050.2448065826763,1050.2448065826763,1050.2448065826763,1050.2448065826763,1050.2448065826763,0.0,0.0,0.0,975.22269380314
21,2012-10-01,9.502630323806498,-3628.8932749137966,2538.3445197451933,9.502630323806498,9.502630323806498,-416.07666035590665,-416.07666035590665,-416.07666035590665,-416.07666035590665,-416.07666035590665,-416.07666035590665,0.0,0.0,0.0,-406.57403003210015
22,2012-11-01,96.84486486392747,-3259.378735706437,2682.878881268347,96.84486486392747,96.84486486392747,-354.47953952186356,-354.47953952186356,-354.47953952186356,-354.47953952186356,-354.47953952186356,-354.47953952186356,0.0,0.0,0.0,-257.6346746579361
23,2012-12-01,181.36960865083893,-3228.6027600656603,2775.5803098418664,181.36960865083893,181.36960865083893,-384.99225597656067,-384.99225597656067,-384.99225597656067,-384.99225597656067,-384.99225597656067,-384.99225597656067,0.0,0.0,0.0,-203.62264732572174
